symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
DKNG,Long,264,2025-06-12T17:20:00.0000000Z,2025-06-12T17:25:00.0000000Z,2025-06-12T18:25:00.0000000Z,37.825,37.8439125,37.660760472024805149410,,37.6419300917887927468352950,Stop,-53.3233557677587148354821200,-1.1028128404811476640821381683
DKNG,Long,263,2025-06-12T19:50:00.0000000Z,2025-06-13T13:30:00.0000000Z,2025-06-12T19:55:00.0000000Z,37.93,37.948965,37.7257445291174946194050,,37.9810,EndOfDay,8.425205,0.1435128233237263644881308234
DKNG,Long,263,2025-06-16T19:20:00.0000000Z,2025-06-16T19:25:00.0000000Z,2025-06-16T19:50:00.0000000Z,37.9,37.91895,37.730743302740009194020,,37.8560625,EndOfDay,-16.5394125,-0.3341406066603810297128873153
DKNG,Long,232,2025-06-25T16:40:00.0000000Z,2025-06-25T16:45:00.0000000Z,2025-06-25T17:40:00.0000000Z,42.91,42.931455,42.749512019744642107480,,42.7281372637347697864262600,Stop,-47.1697148135334095491076800,-1.1174805204348787897358642711
RIVN,Long,759,2025-07-09T19:00:00.0000000Z,2025-07-09T19:05:00.0000000Z,2025-07-09T19:50:00.0000000Z,13.16,13.166580,13.1017856646107000659150,,13.1284325,EndOfDay,-28.9539525,-0.5887474540914827651132494219
DKNG,Long,229,2025-07-10T17:55:00.0000000Z,2025-07-10T18:00:00.0000000Z,2025-07-10T19:50:00.0000000Z,43.54,43.561770,43.329369759956332762820,,44.4427675,EndOfDay,201.7484275,3.7908631240417973787185033614
BROS,Short,158,2025-07-11T17:35:00.0000000Z,2025-07-11T17:40:00.0000000Z,2025-07-11T19:50:00.0000000Z,63.18,63.148410,63.585592163349698344890,,63.0315,EndOfDay,18.471780,0.2674171313491686799947599416
PENN,Short,572,2025-07-15T16:55:00.0000000Z,,,17.49,,17.564307037728813952120,,,NoFill,0,0
DKNG,Short,228,2025-07-29T18:50:00.0000000Z,2025-07-29T18:55:00.0000000Z,2025-07-29T19:50:00.0000000Z,43.695,43.6731525,43.830747972282268074140,,43.741860,EndOfDay,-15.6653100,-0.435973819583715638547310358
PATH,Short,837,2025-07-31T16:45:00.0000000Z,2025-07-31T16:50:00.0000000Z,2025-07-31T19:50:00.0000000Z,11.95,11.944025,11.992940853210050073230,,11.765880,EndOfDay,149.107365,3.6418663543499017705963341586
BROS,Short,158,2025-08-15T18:40:00.0000000Z,2025-08-15T19:10:00.0000000Z,2025-08-15T19:50:00.0000000Z,63.045,63.0134775,63.265513675190631120250,,63.161565,EndOfDay,-23.3978250,-0.5875644632679889232096674043
MARA,Short,653,2025-08-18T13:10:00.0000000Z,2025-08-18T13:30:00.0000000Z,2025-08-18T13:30:00.0000000Z,15.31,15.302345,15.373769884390197633490,,15.3814567693323927323067450,Stop,-51.6599853740524541963044850,-1.1076219444780795271547965738
DKNG,Long,211,2025-08-22T18:10:00.0000000Z,2025-08-22T18:15:00.0000000Z,2025-08-22T19:50:00.0000000Z,47.23,47.253615,47.008467146127059679460,,47.2313725,EndOfDay,-4.6931675,-0.0907309594948697639038536952
BROS,Short,140,2025-09-04T18:20:00.0000000Z,2025-09-04T18:25:00.0000000Z,2025-09-04T19:50:00.0000000Z,71.23,71.194385,71.507534745286612154730,,71.2005825,EndOfDay,-0.8676500,-0.0197908511607687929136628696
DKNG,Short,217,2025-09-08T19:15:00.0000000Z,2025-09-08T19:20:00.0000000Z,2025-09-08T19:50:00.0000000Z,46.03,46.006985,46.171321916945447154320,,45.9979875,EndOfDay,1.9524575,0.0547503273594136256028678779
RIOT,Long,724,2025-09-09T13:25:00.0000000Z,2025-09-09T13:30:00.0000000Z,2025-09-09T13:30:00.0000000Z,13.79,13.796895,13.69663972568993444510,,13.689791405827089477877450,Stop,-77.543002181187218016726200,-1.0683088237499081981658981423
MARA,Long,614,2025-09-15T13:05:00.0000000Z,2025-09-15T13:10:00.0000000Z,2025-09-15T13:30:00.0000000Z,16.27,16.278135,16.216021631437280051060,,16.2079136206215614110344700,Stop,-43.1159269383612936248354200,-1.1305356802140178378453043154
PENN,Long,505,2025-09-23T17:00:00.0000000Z,2025-09-23T17:05:00.0000000Z,2025-09-23T17:45:00.0000000Z,19.76,19.769880,19.59519260025713249080,,19.585395003957003924554600,Stop,-93.164923001713018099927000,-1.0560864510809034601921206626
