trial,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
49,5021.054772,10075.29796,-60.31000185,17,0.004048256,1.28667164,2.994670495,0.0007547,0.000804776,6,0.000159184,0.5,1,0.352979554,999,0,26.80879282,1,5,-0.320171618,0.190763829,0.004009568,-100.2391899,0.2
105,4994.721843,10047.05552,-83.77866605,14,0.002971203,1.699741442,1.80957005,0.000822424,0.000151792,4,5.69035E-05,1.5,1,0.070555157,999,0,3.842928071,1,6,-0.502192929,0.013393233,0.007199443,-179.9860861,0.166666667
470,2987.296223,-50,10043.24056,14,0.001849273,1.809309088,2.89094456,0.000394539,0.000604247,13,0.000180038,1.5,0,0,0,0,0,0,1,0.032405566,999,0,1.247372303,1
143,2941.097248,-158.0981929,10089.89041,22,0.003489603,2.64554238,1.947716741,0.00069296,0.000420395,19,0.000110693,0.75,1,-1.079626305,0,0.002711248,-67.78119418,0,1,0.498904091,999,0,36.78966077,1
459,45.01137809,84.80143365,-14.67370526,23,0.006407415,1.990645605,3.316439147,0.000395398,4.40435E-05,10,0.000650445,0.5,7,0.116325027,3.750327131,0.000972522,66.86886998,0.857142857,6,-0.193320567,0.483300506,0.003493072,-62.84595242,0.5
117,24.37466683,36.30292023,6.482286725,19,0.005842054,2.774295667,1.61114125,0.000715897,0.000560378,10,0.000220678,0.75,14,0.026458634,1.242514033,0.003933098,44.22715058,0.714285714,19,-0.011079882,1.057135068,0.006989936,15.0808079,0.473684211
180,22.67663643,14.09020524,35.55628322,24,0.007638656,1.331206306,1.619390961,0.000897633,0.000459578,5,9.24449E-05,0.75,20,-0.041881734,0.877529916,0.009938411,-48.41663424,0.6,29,0.103396519,1.693889646,0.006859096,236.854274,0.586206897
281,21.34204116,24.85789299,16.06826341,24,0.016980812,2.615197973,3.409464018,0.000908003,1.02342E-05,11,0.000271162,2,14,0.080531446,1.282916845,0.010012211,85.83220302,0.571428571,24,0.061892601,1.273246957,0.006048916,110.0764501,0.5
191,14.7918672,42.21983655,-26.35008681,21,0.006242529,2.55591537,3.136083595,0.000361934,0.000337802,1,0.000285872,2,7,0.166112846,1.863317863,0.003349677,90.16936043,0.571428571,7,-0.111580036,0.638401945,0.002950625,-45.70490276,0.285714286
113,13.77291428,40.58438704,-26.44429487,24,0.00737151,2.533345564,3.14058794,0.000772585,0.000852991,10,0.000763145,1,10,0.072641488,1.349844998,0.003564235,60.12045871,0.7,12,-0.148252127,0.554207043,0.009889718,-137.9058821,0.333333333
375,13.57820361,33.40836538,-16.16703905,20,0.006096438,1.862144068,2.913845045,0.000721224,0.000138428,6,0.000240032,1.5,7,0.108271063,1.560369891,0.003305939,57.660824,0.571428571,9,-0.079918616,0.878168166,0.005803849,-24.4348459,0.333333333
500,12.64665191,10.80332509,15.41164214,23,0.006691102,1.473522328,1.703612583,0.000644984,0.000895967,4,0.000270704,0.5,19,-0.044901021,0.766454654,0.005317123,-58.79994259,0.578947368,23,-0.036736196,0.857628954,0.00721186,-46.6150777,0.608695652
148,11.53621547,10.02072532,13.80945068,24,0.011785064,1.687976135,3.492924368,0.000685997,0.00047645,19,0.000242245,1.5,13,-0.004534531,0.975763792,0.007419852,-5.411467673,0.538461538,32,0.053210003,1.233963693,0.01380534,142.5506577,0.5
478,10.53763254,24.52939085,-10.45000493,24,0.010957118,1.749761226,3.480218485,0.000445129,0.000337603,13,0.000164378,0.5,16,0.025214912,1.21643532,0.003129071,32.26684767,0.625,30,-0.115826653,0.595859841,0.018577585,-242.0185605,0.5
176,7.988598046,16.80157879,-5.230873068,19,0.005371347,2.548066428,1.438363856,0.000677773,0.00066644,19,0.000140686,1,10,-0.024676005,0.943044031,0.003225221,-9.03721389,0.6,16,-0.111101924,0.618791171,0.006171848,-104.3295577,0.5
372,1.779158025,-8.855815194,17.73161785,19,0.01965694,1.636059129,1.114928419,0.000372926,0.000744487,10,1.36653E-05,1.5,136,-0.094667591,0.706005345,0.039924829,-949.2345549,0.463235294,200,0.071245428,1.303169383,0.018733339,1066.893479,0.505
499,1.384528678,12.63336264,-15.48872227,19,0.008112406,2.258046243,2.7266514,0.00063239,0.000132624,5,1.11983E-05,0.5,19,-0.034119988,0.844226884,0.005832884,-48.31563234,0.578947368,31,-0.153883084,0.491711832,0.018912252,-340.683852,0.483870968
432,0.356566314,16.76027644,-24.24899888,24,0.018249135,2.547515414,2.928481146,0.000351435,1.37172E-05,16,0.000928756,2,21,0.053919983,1.193494804,0.015709202,87.35367934,0.523809524,41,-0.119863323,0.605935374,0.027020963,-393.8938356,0.365853659
214,0.314747,19.3480094,-28.2351466,24,0.0083985,1.352987939,2.406778299,0.00010665,8.20289E-05,1,0.000416881,0.75,17,0.021760714,1.11490588,0.004584433,26.33095659,0.588235294,33,-0.150016605,0.517089439,0.023565466,-367.8587279,0.363636364
159,0.19504296,13.01412416,-19.03357885,24,0.016371706,1.272024087,3.159919806,0.00063739,0.00087402,4,0.000747863,1,23,-0.005897885,0.973508735,0.012032636,-11.35977714,0.565217391,34,-0.116247864,0.595465725,0.021155549,-296.9763282,0.411764706
198,0.171024447,8.817213032,-12.79825843,23,0.007173943,2.252586249,2.856251586,0.000480478,0.000421717,3,0.001392825,1,10,-0.008194872,0.98656303,0.004578601,-2.651102103,0.5,20,-0.131785142,0.629577883,0.018310461,-199.2699218,0.45
245,-0.474588655,2.254058425,-4.567559276,24,0.015782212,2.458267288,2.153184024,0.000903645,0.000255696,14,0.000317007,2,31,-0.004586227,1.003406519,0.015610935,2.680797664,0.451612903,44,-0.052987048,0.809332582,0.019191657,-174.332232,0.454545455
491,-1.346225792,33.40851652,-53.47833926,21,0.006136275,1.997223083,2.556318145,0.000735976,0.000898915,19,0.000716385,2,7,0.109433441,1.550070812,0.003567857,62.79739839,0.571428571,14,-0.266145049,0.231317208,0.012111558,-278.0336034,0.214285714
43,-2.222395396,7.574643172,-16.91795325,23,0.015506552,2.825913755,2.839768144,0.000115995,0.000346822,7,0.000205861,0.75,28,-0.013304202,0.935813124,0.009061358,-31.84595585,0.5,43,-0.12168243,0.611081873,0.030586683,-382.9828966,0.441860465
408,-3.479434464,-9.115825242,4.975151704,22,0.005876519,1.939227772,1.816934865,0.000765732,0.000901332,2,0.000658011,0.5,13,-0.099661852,0.495881233,0.00524597,-94.87835302,0.461538462,13,-0.05957893,0.730622711,0.004386725,-51.04949507,0.538461538
258,-4.067219702,-3.670092323,-4.662910772,15,0.006350934,1.304195013,1.709555417,0.000536018,0.000733428,8,0.000121995,0.75,36,-0.07775689,0.754768228,0.010583453,-175.9092166,0.472222222,40,-0.069446961,0.754087376,0.012324626,-184.2388556,0.475
189,-5.184447854,-8.652056911,0.016965731,18,0.010259771,2.47116032,1.527798505,0.000343104,0.000551714,9,0.000152534,0.75,72,-0.100925293,0.670955534,0.027245458,-538.1815961,0.472222222,93,-0.061474522,0.782588848,0.034441832,-394.2548037,0.52688172
269,-5.205465991,-25.11922534,24.66517304,22,0.015531757,2.195451515,1.371871322,0.000901247,0.000454321,19,5.17825E-05,2,64,-0.15647916,0.595092726,0.036493513,-735.1955301,0.375,96,0.102849231,1.507159387,0.011460211,748.9470616,0.510416667
30,-7.363594036,36.55650159,-73.24373747,18,0.005574452,2.799354599,3.226285396,0.000897561,0.00020939,20,0.0002179,2,6,0.186071553,1.811518073,0.00331669,83.54369896,0.5,6,-0.41266295,0.170391789,0.00696054,-174.0135076,0.166666667
32,-7.60418256,-7.775803095,-7.346751758,24,0.006932793,1.566903001,2.482289175,0.000486957,0.000270948,12,0.001372788,0.5,13,-0.084675712,0.47453143,0.004147847,-83.25470854,0.461538462,19,-0.140045867,0.464051899,0.012285259,-201.4924707,0.526315789
183,-8.599198128,-18.22496435,5.839451211,24,0.006914355,1.533100535,2.617396139,8.93345E-05,0.000446422,2,0.00023901,,11,-0.172823371,0.39702897,0.007349248,-149.8215493,0.454545455,18,0.011141471,1.082493991,0.010881605,32.93094521,0.444444444
86,-8.637753433,41.57864134,-83.96234559,9,0.004117899,2.661017764,3.073498537,1.08288E-05,0.000684072,17,0.000108288,2,13,0.222912284,1.566812798,0.004537378,128.5197132,0.538461538,14,-0.463518218,0.25793743,0.02133043,-422.1768614,0.142857143
415,-9.079797233,-7.215743681,-11.87587756,9,0.014229692,2.846208831,2.246050487,0.00089413,0.000237013,4,0.000213604,1,133,-0.082278719,0.792122419,0.044925341,-775.2219735,0.473684211,145,-0.086809023,0.763936913,0.060626942,-894.3554651,0.44137931
444,-9.09016637,-2.934555514,-18.32358265,12,0.012482453,2.838849227,1.542364254,0.000937491,0.000971007,2,1.90682E-06,1.5,110,-0.037957058,0.885536762,0.029414816,-309.0954539,0.454545455,124,-0.115616539,0.705164169,0.060223022,-1037.288741,0.403225806
309,-9.105561151,-20.27900056,7.654597963,19,0.018030851,2.742229597,1.150452912,0.000761714,0.000293128,3,0.000625986,0.75,95,-0.152605306,0.538918589,0.051819486,-1120.086396,0.431578947,132,-0.019066506,0.943193387,0.026061004,-135.7526279,0.53030303
290,-9.162567692,-2.615733811,-18.98281851,22,0.01770735,1.536913102,2.983604308,0.000964278,0.000116804,18,0.000922671,0.75,33,-0.084046486,0.685758393,0.019023351,-223.310461,0.515151515,43,-0.113671429,0.603737785,0.026994039,-375.865056,0.395348837
127,-9.320521218,-27.05890408,17.28705308,20,0.017438518,2.390129997,1.385021227,0.000709777,0.000516692,12,0.000197646,1.5,77,-0.180626432,0.508179898,0.041834607,-1034.813105,0.38961039,110,0.060915624,1.289506694,0.017649534,542.8885618,0.509090909
184,-9.521853643,-3.333737004,-18.8040286,18,0.011274013,1.479513962,2.524648813,0.000318857,0.000736893,20,0.000469248,0.75,55,-0.074868869,0.73248136,0.01858479,-316.6857148,0.490909091,74,-0.11976146,0.603873217,0.037455847,-662.7829156,0.418918919
464,-9.947654925,6.295952981,-34.31306678,23,0.009647814,1.378787144,3.014508528,6.37277E-05,2.96701E-05,9,0.000595175,0.75,23,-0.037242819,0.830293423,0.009132247,-62.7964408,0.52173913,34,-0.210632084,0.397592231,0.030740484,-546.4884233,0.382352941
251,-10.57133522,-9.102294952,-12.77489562,22,0.011335992,1.89412426,3.487082633,0.000995393,0.000440076,7,0.000823266,0.5,14,-0.171390654,0.399674143,0.008723228,-193.1371303,0.571428571,29,-0.123039077,0.523217585,0.017242855,-266.7938801,0.482758621
289,-10.70696758,-28.80093243,16.43397969,22,0.013785439,2.639744258,1.278255738,0.000295366,0.00048922,18,0.000260883,1,72,-0.214085968,0.438953337,0.048970714,-1158.728462,0.416666667,104,0.04502387,1.220832951,0.013227044,365.026461,0.528846154
362,-10.8656873,6.616773568,-37.08937859,16,0.008311272,2.04020912,2.738069219,0.000298198,0.000566328,11,0.000521124,0.75,30,-0.069810642,0.758055038,0.012987586,-169.3589961,0.566666667,33,-0.201689074,0.419717339,0.025283295,-499.5736839,0.333333333
88,-10.97843209,-11.33639614,-10.44148601,6,0.017313723,2.245528805,2.092804983,4.83134E-06,0.000610928,7,0.000314909,0.5,246,-0.153529811,0.536239902,0.114996534,-2726.40677,0.56097561,312,-0.138354118,0.555152995,0.13301729,-3117.977692,0.564102564
412,-11.01454235,-11.6946524,-9.994377279,24,0.0135845,2.774953822,2.194092144,0.000944723,0.000355063,2,0.001152924,0.5,26,-0.168333949,0.399391394,0.015931267,-351.2385002,0.538461538,36,-0.142809641,0.46943103,0.021774542,-418.9021342,0.527777778
308,-12.29539207,-13.14490935,-11.02111614,11,0.017559788,1.238444559,1.60136097,0.000852239,0.000568991,12,0.000120618,0.75,220,-0.120141231,0.657443599,0.087361062,-1956.055851,0.481818182,310,-0.104127873,0.688862022,0.105497359,-2308.910605,0.487096774
425,-12.3995867,2.122172436,-34.1822254,20,0.008878285,2.213108761,3.134374953,0.000991188,0.000272547,11,0.000561058,1,17,-0.079098748,0.751419482,0.008466481,-105.9029281,0.529411765,23,-0.221207658,0.44884543,0.022483784,-376.6370919,0.347826087
292,-12.9394656,-27.5004219,8.90196886,22,0.007685106,1.542681141,1.912334258,0.000763431,1.55975E-06,4,3.51224E-05,2,22,-0.191931127,0.60748722,0.014916356,-280.2351918,0.363636364,32,-0.00392562,0.990236081,0.012156598,-6.153844309,0.5
355,-12.95016497,-24.35846405,4.162283641,19,0.017642126,1.228537193,1.279485931,3.83454E-05,0.000792666,13,0.000430339,1,151,-0.17405804,0.516731375,0.082800312,-1979.205334,0.430463576,228,-0.003367061,1.008967807,0.031999062,36.2069432,0.478070175
109,-12.97267291,-18.14557052,-5.213326506,22,0.017447175,1.270136597,1.878938161,0.000123958,0.000908727,2,0.000277186,1,76,-0.118538448,0.622951177,0.034071365,-683.8786114,0.407894737,107,-0.053617905,0.78256902,0.03385046,-414.9122437,0.46728972
322,-13.22636744,-6.916163659,-22.69167311,15,0.018157833,2.303862611,3.072198992,0.000523,0.000981947,6,0.000232959,0.5,44,-0.15614269,0.51346395,0.02455378,-523.9883821,0.568181818,61,-0.192894476,0.418669229,0.038907552,-880.5122354,0.475409836
186,-13.39712793,-6.127001615,-24.3023174,24,0.014214483,2.17856049,2.505162614,0.000249589,0.000574776,2,0.000408628,1.5,30,-0.050174706,0.8311008,0.018907234,-106.9457673,0.433333333,59,-0.110386541,0.655436677,0.040290226,-484.0246499,0.355932203
403,-13.7315988,-22.1638492,-1.083223182,21,0.016499929,2.505961062,1.180022392,0.000496729,0.000467449,4,0.000870646,0.75,84,-0.161203356,0.481709494,0.048219923,-1069.330703,0.416666667,129,-0.037034183,0.845000232,0.038116827,-349.6830519,0.480620155
232,-13.92054177,-17.34628917,-8.781920673,6,0.011141568,2.916154928,1.257261825,0.000376092,0.000122885,12,0.000271519,0.5,360,-0.180874661,0.509198735,0.179954062,-4417.826901,0.558333333,448,-0.136876967,0.581882115,0.172368045,-4227.673396,0.587053571
422,-14.17235344,-1.362634609,-33.38693169,23,0.011179495,1.896838629,2.630171571,0.000865643,0.000109153,16,0.001183365,1,25,-0.034322515,0.86114467,0.010836596,-65.3991171,0.44,45,-0.191042491,0.453685082,0.036414824,-689.0722491,0.355555556
244,-14.31455532,-13.04100901,-16.22487479,6,0.007143822,2.300453982,2.324480966,0.000914913,3.16159E-05,18,0.000374664,0.75,133,-0.155286585,0.614836209,0.085527337,-1459.319111,0.518796992,148,-0.167576221,0.590224957,0.078887629,-1676.672845,0.5
177,-14.32006307,-14.45355353,-14.11982737,22,0.014413097,1.515433211,2.95414184,0.000645099,0.00050831,3,0.000583783,1.5,34,-0.120448274,0.621429375,0.022813338,-319.9950541,0.441176471,48,-0.070723149,0.778751097,0.026462373,-243.3750968,0.395833333
