symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
OPEN,Short,5000,2025-06-03T19:14:00.0000000Z,2025-06-03T19:16:00.0000000Z,2025-06-03T19:20:00.0000000Z,0.5842,0.58390790,0.58817929564151116445480,,0.588473385289331920037027400,Stop,-22.827426446659600185137000000,-1.0688509500179923566811054127
DKNG,Short,295,2025-06-05T18:06:00.0000000Z,2025-06-05T18:08:00.0000000Z,2025-06-05T18:28:00.0000000Z,33.865,33.8480675,34.034588387486184197240,,34.0516056816799272893386200,Stop,-60.0437635955785503548929000,-1.0912353271694762946243087846
OPEN,Short,5000,2025-06-09T19:30:00.0000000Z,2025-06-09T19:32:00.0000000Z,2025-06-09T19:50:00.0000000Z,0.5793,0.57901035,0.58217848663989737940680,,0.57048510,EndOfDay,42.62625000,2.6909350728875587113068477097
HOOD,Short,135,2025-06-12T19:52:00.0000000Z,2025-06-12T19:54:00.0000000Z,2025-06-12T19:54:00.0000000Z,73.61,73.573195,73.919965551545808816280,,73.676820,EndOfDay,-13.989375,-0.2988287198496756148949361421
HOOD,Short,136,2025-06-13T18:04:00.0000000Z,,,73.18,,73.659930494809211464200,,,NoFill,0,0
BROS,Short,147,2025-06-13T18:14:00.0000000Z,2025-06-13T18:18:00.0000000Z,2025-06-13T19:50:00.0000000Z,68,67.9660,68.419223966733172522280,,68.044005,EndOfDay,-11.466735,-0.1721113747850939313207772632
AFRM,Short,167,2025-06-17T18:38:00.0000000Z,2025-06-17T18:46:00.0000000Z,2025-06-17T19:10:00.0000000Z,59.625,59.5951875,59.868071139433528828880,,59.8980051750032455932944400,Stop,-50.5705517255420140801714800,-1.1096952372515111346601421853
AFRM,Short,167,2025-06-17T19:52:00.0000000Z,2025-06-17T19:54:00.0000000Z,2025-06-17T19:54:00.0000000Z,59.895,59.8650525,60.178112937850241056360,,60.019995,EndOfDay,-25.8753975,-0.4949283948619529932171336319
BROS,Short,145,2025-06-17T19:58:00.0000000Z,2025-06-18T13:32:00.0000000Z,2025-06-18T13:46:00.0000000Z,68.91,68.875545,69.319345316975240279480,,69.3540049896337278996197400,Stop,-69.3766984968905454448623000,-1.0780974490841143116001595833
MARA,Short,695,2025-06-20T16:58:00.0000000Z,2025-06-20T17:00:00.0000000Z,2025-06-20T19:50:00.0000000Z,14.39,14.382805,14.491953738897290890920,,14.257125,EndOfDay,87.347600,1.151456272144976845372337214
BROS,Short,147,2025-06-20T19:38:00.0000000Z,2025-06-20T19:40:00.0000000Z,2025-06-20T19:50:00.0000000Z,67.79,67.756105,68.149187561660552195120,,67.773870,EndOfDay,-2.611455,-0.0451940679458098860101627622
HOOD,Short,131,2025-06-23T19:50:00.0000000Z,2025-06-23T19:52:00.0000000Z,2025-06-23T19:52:00.0000000Z,76.11,76.071945,76.600326905599966137720,,76.218090,EndOfDay,-19.144995,-0.2765897137110619594963109649
BROS,Short,144,2025-06-25T18:34:00.0000000Z,,,69.01,,69.279339923631148379160,,,NoFill,0,0
IONQ,Short,252,2025-06-25T18:36:00.0000000Z,,,39.69,,40.055400085772015195400,,,NoFill,0,0
BROS,Short,145,2025-06-25T19:52:00.0000000Z,2025-06-25T19:56:00.0000000Z,2025-06-25T19:54:00.0000000Z,68.56,68.525720,68.999302170222505076920,,68.544255,EndOfDay,-2.687575,-0.0391378754637059583756346339
MARA,Short,673,2025-06-26T13:12:00.0000000Z,2025-06-26T13:14:00.0000000Z,2025-06-26T14:30:00.0000000Z,14.85,14.842575,14.962017110690370719680,,14.9694981192457159050398400,Stop,-85.4192592523668040918123200,-1.0626329232806189461902244654
BROS,Short,148,2025-06-26T17:44:00.0000000Z,,,67.2,,67.479097223147012864760,,,NoFill,0,0
DKNG,Short,236,2025-06-27T18:40:00.0000000Z,2025-06-27T18:42:00.0000000Z,2025-06-27T19:00:00.0000000Z,42.29,42.268855,42.5707391922817934280200,,42.59202456187793432473401000,Stop,-76.26801660319250063722636000,-1.0705083940807079247190996915
DKNG,Short,234,2025-06-30T15:38:00.0000000Z,2025-06-30T15:42:00.0000000Z,2025-06-30T16:48:00.0000000Z,42.59,42.568705,42.8207729006823678050200,,42.84218328713270898892251000,Stop,-63.99391918905390340786734000,-1.0849389644313360375630033635
DKNG,Short,234,2025-06-30T17:56:00.0000000Z,2025-06-30T17:58:00.0000000Z,2025-06-30T19:40:00.0000000Z,42.59,42.568705,42.80577087817833334240,,42.827173763617422509071200,Stop,-60.481690686476867122660800,-1.0902824379600880298334493496
IONQ,Short,241,2025-07-01T18:02:00.0000000Z,,,41.48,,41.685619864543760133440,,,NoFill,0,0
AFRM,Short,149,2025-07-01T18:56:00.0000000Z,2025-07-01T18:58:00.0000000Z,2025-07-01T19:50:00.0000000Z,67.14,67.106430,67.599113403179288565720,,67.403685,EndOfDay,-44.290995,-0.6033387730981233332269829815
CRWV,Short,64,2025-07-02T15:52:00.0000000Z,,,155.5,,156.971162133880593880600,,,NoFill,0,0
DKNG,Short,245,2025-07-02T17:02:00.0000000Z,2025-07-02T17:04:00.0000000Z,2025-07-02T19:06:00.0000000Z,40.82,40.799590,41.1305450318944850165000,,41.15111030441043225900825000,Stop,-86.12247458055590345702125000,-1.0621391746130146662711744519
MARA,Short,578,2025-07-07T13:30:00.0000000Z,,,17.295,,17.432350149688045564440,,,NoFill,0,0
DKNG,Short,244,2025-07-03T15:46:00.0000000Z,2025-07-03T15:48:00.0000000Z,2025-07-07T14:20:00.0000000Z,40.845,40.8245775,41.065536267710335678480,,41.0860690358441908463192400,Stop,-63.8039347459825665018945600,-1.085212786938461902961746074
DKNG,Short,246,2025-07-07T15:30:00.0000000Z,2025-07-07T15:32:00.0000000Z,2025-07-07T19:50:00.0000000Z,40.65,40.629675,40.9205167168380025398200,,40.6353075,EndOfDay,-1.3855950,-0.0193662039312512924347460124
CRWV,Short,65,2025-07-08T16:36:00.0000000Z,2025-07-08T16:38:00.0000000Z,2025-07-08T16:54:00.0000000Z,153.87,153.793065,154.850876286643723163640,,154.9283017247870450252218200,Stop,-73.7903871111579266394183000,-1.0731939988927336790157170049
HOOD,Short,108,2025-07-08T18:20:00.0000000Z,2025-07-08T18:22:00.0000000Z,2025-07-08T19:50:00.0000000Z,92.08,92.033960,92.832515254965254692560,,91.365660,EndOfDay,72.176400,0.8368863592652431719894112606
AFRM,Short,134,2025-07-08T16:34:00.0000000Z,2025-07-08T16:36:00.0000000Z,2025-07-08T19:50:00.0000000Z,67.825,67.7910875,68.5342394725974367357000,,67.623795,EndOfDay,22.4171950,0.2251120984248828216127789477
CRWV,Short,65,2025-07-10T18:12:00.0000000Z,2025-07-10T18:14:00.0000000Z,2025-07-10T19:50:00.0000000Z,144.79,144.717605,146.2547173918319760823800,,137.4536925,EndOfDay,472.1543125,4.7256872943055607690633192409
BROS,Short,153,2025-07-10T16:14:00.0000000Z,2025-07-10T16:16:00.0000000Z,2025-07-10T19:50:00.0000000Z,65.06,65.027470,65.498830252614463798920,,63.7768725,EndOfDay,191.3414175,2.6531670692710951865458525262
IONQ,Short,233,2025-07-11T18:46:00.0000000Z,2025-07-11T18:48:00.0000000Z,2025-07-11T19:50:00.0000000Z,42.91,42.888545,43.185822114947206395440,,41.82090,EndOfDay,248.761285,3.5914133524526556857257223126
DKNG,Short,232,2025-07-14T18:24:00.0000000Z,2025-07-14T18:26:00.0000000Z,2025-07-14T18:40:00.0000000Z,43.06,43.038470,43.1708200924431719328200,,43.19240550248939351878641000,Stop,-35.71303657753929635844712000,-1.1630932751746271848252764908
HOOD,Short,100,2025-07-14T17:46:00.0000000Z,2025-07-14T17:48:00.0000000Z,2025-07-14T19:30:00.0000000Z,99.31,99.260345,99.9684772927176474121400,,100.01846153136400623584607000,Stop,-75.81165313640062358460700000,-1.0705860178393092553254467861
BROS,Short,157,2025-07-14T19:50:00.0000000Z,2025-07-14T19:52:00.0000000Z,2025-07-14T19:52:00.0000000Z,63.355,63.3233225,63.7035882262983397720600,,63.381675,EndOfDay,-9.1613425,-0.1534519047194360969671786738
BROS,Short,159,2025-07-16T19:32:00.0000000Z,2025-07-16T19:34:00.0000000Z,2025-07-16T19:50:00.0000000Z,62.69,62.658655,62.9734897977686625912200,,62.801385,EndOfDay,-22.694070,-0.453348870619049400639475573
CRWV,Short,74,2025-07-17T19:18:00.0000000Z,,,134.22,,134.928190401285956804280,,,NoFill,0,0
CRWV,Short,74,2025-07-17T19:20:00.0000000Z,2025-07-17T19:22:00.0000000Z,2025-07-17T19:50:00.0000000Z,133.755,133.6881225,134.928190401285956804280,,132.7613475,EndOfDay,68.5813500,0.7473582688810262316261250982
DKNG,Short,230,2025-07-18T16:28:00.0000000Z,,,43.38,,43.655885486740286224200,,,NoFill,0,0
DKNG,Short,230,2025-07-21T13:30:00.0000000Z,2025-07-21T13:32:00.0000000Z,2025-07-21T14:00:00.0000000Z,43.36,43.338320,43.765900318436538950080,,43.7877832685957572195550400,Stop,-103.3765517770241604976592000,-1.0511785721083560944923209925
AFRM,Short,147,2025-07-21T18:12:00.0000000Z,2025-07-21T18:14:00.0000000Z,2025-07-21T19:50:00.0000000Z,67.94,67.906030,68.339213180044988721640,,67.0885275,EndOfDay,120.1728675,1.8871981592523914879009701366
BROS,Short,159,2025-07-21T16:00:00.0000000Z,2025-07-21T16:02:00.0000000Z,2025-07-21T19:50:00.0000000Z,62.83,62.798585,63.20852148366520250560,,62.771370,EndOfDay,4.327185,0.0663883335210208997163309986
HOOD,Short,93,2025-07-21T18:12:00.0000000Z,2025-07-21T18:14:00.0000000Z,2025-07-21T19:50:00.0000000Z,106.95,106.896525,107.554500005591074010320,,105.2075775,EndOfDay,157.0721175,2.5668870179692917001467933454
MARA,Short,526,2025-07-21T18:36:00.0000000Z,2025-07-21T18:38:00.0000000Z,2025-07-21T19:50:00.0000000Z,18.99,18.980505,19.132579366811951328040,,18.749370,EndOfDay,121.577010,1.5198813899111063004424833953
AFRM,Short,149,2025-07-21T19:54:00.0000000Z,2025-07-21T19:56:00.0000000Z,2025-07-21T19:56:00.0000000Z,66.835,66.8015825,67.319075649770645263480,,66.803385,EndOfDay,-0.2685725,-0.0034831378942868599787397966
AFRM,Short,153,2025-07-22T16:24:00.0000000Z,2025-07-22T16:26:00.0000000Z,2025-07-22T17:58:00.0000000Z,65.07,65.037465,65.5038309267824752864600,,65.53658284224586652410323000,Stop,-76.36502986361757818779419000,-1.0702279338659051497128714604
HOOD,Short,98,2025-07-22T19:00:00.0000000Z,2025-07-22T19:02:00.0000000Z,2025-07-22T19:38:00.0000000Z,101.94,101.889030,102.553825837579586470320,,102.6051027504983762635551600,Stop,-70.1751295488408738284056800,-1.0771318200569376217363439091
HOOD,Short,98,2025-07-22T19:52:00.0000000Z,2025-07-22T19:54:00.0000000Z,2025-07-22T19:54:00.0000000Z,101.885,101.8340575,102.593831230923678370640,,101.830890,EndOfDay,0.3104150,0.0041690043641666589890064917
AFRM,Short,153,2025-07-22T19:54:00.0000000Z,2025-07-22T19:56:00.0000000Z,2025-07-22T19:56:00.0000000Z,65.385,65.3523075,65.848877444375267926720,,65.502735,EndOfDay,-23.0154075,-0.3029331551454489620374995309
HOOD,Short,98,2025-07-24T15:26:00.0000000Z,2025-07-24T15:28:00.0000000Z,2025-07-24T16:00:00.0000000Z,101.38,101.329310,101.9987510049303113533800,,102.04975038043277650905669000,Stop,-70.60315728241209788755562000,-1.0761820311675920992104780791
DKNG,Short,226,2025-07-24T18:30:00.0000000Z,2025-07-24T18:32:00.0000000Z,2025-07-24T19:34:00.0000000Z,44.115,44.0929425,44.285970431909733654240,,44.3081134171256885210671200,Stop,-48.6286272704056057611691200,-1.1147138913880591675749271103
CRWV,Short,86,2025-07-25T19:00:00.0000000Z,2025-07-25T19:02:00.0000000Z,2025-07-25T19:50:00.0000000Z,115.3,115.24235,116.11565418122674067880,,115.2826125,EndOfDay,-3.4625750,-0.0461036381887497568065957509
APLD,Short,905,2025-07-25T17:42:00.0000000Z,2025-07-25T17:44:00.0000000Z,2025-07-25T19:50:00.0000000Z,11.05,11.044475,11.111498001321525313880,,10.8604275,EndOfDay,166.5629875,2.746034889083529255307252963
HOOD,Short,95,2025-07-29T19:34:00.0000000Z,2025-07-29T19:36:00.0000000Z,2025-07-29T19:50:00.0000000Z,104.25,104.197875,104.894141348208962639040,,103.891920,EndOfDay,29.065725,0.439422357244496820887589819
MARA,Short,598,2025-07-29T19:26:00.0000000Z,2025-07-29T19:28:00.0000000Z,2025-07-29T19:50:00.0000000Z,16.73,16.721635,16.872274642870758959960,,16.578285,EndOfDay,85.723300,0.9516087350458398432906080269
IONQ,Short,241,2025-07-29T18:56:00.0000000Z,2025-07-29T19:02:00.0000000Z,2025-07-29T19:50:00.0000000Z,41.405,41.3842975,41.70562256121580608360,,40.52025,EndOfDay,208.2354475,2.6890137256355939169149883271
DKNG,Short,229,2025-07-29T18:52:00.0000000Z,2025-07-29T18:54:00.0000000Z,2025-07-29T19:50:00.0000000Z,43.685,43.6631575,43.825908408452676800560,,43.661820,EndOfDay,0.3062875,0.0082180800876383792536629908
BROS,Short,172,2025-07-29T19:42:00.0000000Z,2025-07-29T19:44:00.0000000Z,2025-07-29T19:50:00.0000000Z,58.12,58.090940,58.427876979046220417360,,58.169070,EndOfDay,-13.438360,-0.2318831261002143226698384591
DKNG,Short,229,2025-08-01T18:08:00.0000000Z,2025-08-01T18:10:00.0000000Z,2025-08-01T18:24:00.0000000Z,43.66,43.638170,43.8409104309567112631800,,43.86283088617218961881159000,Stop,-51.44734293343142270785411000,-1.1081207883007744418828485169
DKNG,Short,228,2025-08-01T19:28:00.0000000Z,2025-08-01T19:32:00.0000000Z,2025-08-01T19:50:00.0000000Z,43.83,43.808085,43.965927285156998451680,,43.811895,EndOfDay,-0.868680,-0.0241380185050562874712753596
MARA,Short,639,2025-08-07T19:04:00.0000000Z,2025-08-07T19:06:00.0000000Z,2025-08-07T19:30:00.0000000Z,15.655,15.6471725,15.772126325908231701160,,15.7800123890711858170105800,Stop,-84.8846891164877370697606200,-1.0631118183507704682634471735
DKNG,Short,234,2025-08-11T16:42:00.0000000Z,2025-08-11T16:46:00.0000000Z,2025-08-11T19:50:00.0000000Z,42.695,42.6736525,42.9007836873705516056600,,42.4262025,EndOfDay,57.9033000,1.0894584881304715231525546755
DKNG,Short,234,2025-08-13T18:36:00.0000000Z,2025-08-13T18:38:00.0000000Z,2025-08-13T19:16:00.0000000Z,42.68,42.658660,42.925787058210609043360,,42.9472499517397143478816800,Stop,-67.5300487070931574043131200,-1.0803471339551962253957004605
BROS,Short,158,2025-08-14T18:38:00.0000000Z,2025-08-14T18:40:00.0000000Z,2025-08-14T19:22:00.0000000Z,63.19,63.158405,63.4035477762176505196600,,63.43524955010575934491983000,Stop,-43.74143891670997649733314000,-1.1293196331429417275752322146
BROS,Short,158,2025-08-15T18:42:00.0000000Z,2025-08-15T18:44:00.0000000Z,2025-08-15T19:50:00.0000000Z,63.03,62.998485,63.258528225345317381000,,63.151560,EndOfDay,-24.185850,-0.5886521358006084801681625869
DKNG,Short,221,2025-08-19T18:36:00.0000000Z,2025-08-19T18:38:00.0000000Z,2025-08-19T19:50:00.0000000Z,45.14,45.117430,45.416122793880329838280,,45.1375575,EndOfDay,-4.4481775,-0.0673852882037187958973253188
DKNG,Short,222,2025-08-20T16:36:00.0000000Z,2025-08-20T16:40:00.0000000Z,2025-08-20T19:14:00.0000000Z,45.04,45.017480,45.236098523831916286840,,45.2587165730938322449834200,Stop,-53.5545192268307583863192400,-1.1034589789806911672783819698
AFRM,Short,136,2025-08-20T19:52:00.0000000Z,2025-08-20T19:54:00.0000000Z,2025-08-20T19:54:00.0000000Z,73.28,73.243360,73.6349271239691540265000,,73.326645,EndOfDay,-11.326760,-0.2126966103685477793252327538
AFRM,Short,136,2025-08-20T19:56:00.0000000Z,2025-08-20T19:58:00.0000000Z,2025-08-20T19:58:00.0000000Z,73.15,73.113425,73.6349271239691540265000,,73.0114875,EndOfDay,13.8635000,0.1954690025500824837920147699
MARA,Short,665,2025-08-21T13:30:00.0000000Z,2025-08-21T13:32:00.0000000Z,2025-08-21T13:32:00.0000000Z,15.04,15.032480,15.152042729074807246200,,15.1596187504393446498231000,Stop,-84.5472690421641921323615000,-1.0633644064765139884645368336
IONQ,Short,258,2025-08-25T19:16:00.0000000Z,2025-08-25T19:28:00.0000000Z,2025-08-25T19:50:00.0000000Z,38.77,38.750615,38.995257162153579836920,,38.639310,EndOfDay,28.716690,0.4549706355608714902837255166
MARA,Short,645,2025-08-25T19:02:00.0000000Z,2025-08-25T19:04:00.0000000Z,2025-08-25T19:50:00.0000000Z,15.49,15.482255,15.562098010851749224480,,15.4327125,EndOfDay,31.9549125,0.6204988949125358308454376738
AFRM,Short,128,2025-08-25T19:54:00.0000000Z,2025-08-26T13:30:00.0000000Z,2025-08-25T19:56:00.0000000Z,77.63,77.591185,78.1655379201875617377400,,77.528745,EndOfDay,7.992320,0.1087136459228055803297169961
APLD,Short,444,2025-08-27T15:26:00.0000000Z,2025-08-27T15:28:00.0000000Z,2025-08-27T16:50:00.0000000Z,16.05,16.041975,16.2671930685413689676200,,16.27532666507563965210381000,Stop,-103.60813929358400553409164000,-1.036114316168983007274111755
DKNG,Short,210,2025-08-27T19:46:00.0000000Z,2025-08-27T19:48:00.0000000Z,2025-08-27T19:50:00.0000000Z,47.56,47.536220,47.70643156282959113160,,47.653815,EndOfDay,-24.694950,-0.6908755083679674193830184072
DKNG,Short,209,2025-08-28T16:58:00.0000000Z,2025-08-28T17:02:00.0000000Z,2025-08-28T17:04:00.0000000Z,47.785,47.7611075,47.886455832878004683040,,47.9103990607944436853815200,Stop,-31.2019362060387302447376800,-1.1910135329820601510617284565
DKNG,Short,210,2025-08-29T15:38:00.0000000Z,2025-08-29T15:40:00.0000000Z,2025-08-29T19:44:00.0000000Z,47.46,47.436270,47.776441001181751957160,,47.8003292216823428331385800,Stop,-76.4524365532919949591018000,-1.0702241531982542471187707652
DKNG,Short,212,2025-09-02T15:34:00.0000000Z,2025-09-02T15:38:00.0000000Z,2025-09-02T17:06:00.0000000Z,47.13,47.106435,47.366385719404809978880,,47.3900689122645123838694400,Stop,-60.1303894000766253803212800,-1.0911064716955893324785039911
HOOD,Short,99,2025-09-03T17:38:00.0000000Z,2025-09-03T17:40:00.0000000Z,2025-09-03T19:50:00.0000000Z,100.32,100.269840,100.923606058807841532280,,100.630290,EndOfDay,-35.684550,-0.5513440092887193154386770494
CRWV,Short,110,2025-09-03T17:34:00.0000000Z,2025-09-03T17:36:00.0000000Z,2025-09-03T19:50:00.0000000Z,90.61,90.564695,91.322311656225785455480,,89.4697125,EndOfDay,120.4480750,1.4452988737798717765767818886
BROS,Short,139,2025-09-03T19:56:00.0000000Z,2025-09-03T19:58:00.0000000Z,2025-09-03T19:58:00.0000000Z,71.705,71.6691475,72.1147221768936618143400,,71.705835,EndOfDay,-5.0995625,-0.0823374888711541818126234701
BROS,Short,141,2025-09-04T15:10:00.0000000Z,2025-09-04T15:12:00.0000000Z,2025-09-04T15:20:00.0000000Z,70.53,70.494735,70.8545522865547669542600,,70.88997956269804433773713000,Stop,-55.72948334042425162093533000,-1.098459072054296868756610667
MARA,Short,656,2025-09-04T16:40:00.0000000Z,2025-09-04T16:42:00.0000000Z,2025-09-04T17:06:00.0000000Z,15.25,15.242375,15.372072392467312697960,,15.3797584286635463543089800,Stop,-90.1235292032864084266908800,-1.0592613008636295320246532432
LCID,Short,645,2025-09-04T17:54:00.0000000Z,2025-09-04T17:56:00.0000000Z,2025-09-04T18:00:00.0000000Z,15.495,15.4872525,15.592102055859818149720,,15.5998981068877480587948600,Stop,-72.6564164425974979226847000,-1.0743546404560175738930996185
MARA,Short,663,2025-09-04T19:48:00.0000000Z,2025-09-04T19:50:00.0000000Z,2025-09-04T19:50:00.0000000Z,15.075,15.0674625,15.182046774082876171440,,15.087540,EndOfDay,-13.3113825,-0.1752203795913425762177977016
BROS,Short,140,2025-09-04T19:06:00.0000000Z,2025-09-04T19:08:00.0000000Z,2025-09-04T19:50:00.0000000Z,71.22,71.184390,71.5046399283962603344600,,71.1605625,EndOfDay,3.3358500,0.0744028269399551930953247766
APLD,Short,716,2025-09-05T16:46:00.0000000Z,2025-09-05T16:48:00.0000000Z,2025-09-05T18:20:00.0000000Z,13.97,13.963015,14.0568950862802914749400,,14.06392353382343162067747000,Stop,-72.25051021757704040506852000,-1.0748662237288084873008557164
DKNG,Short,217,2025-09-08T19:18:00.0000000Z,2025-09-08T19:20:00.0000000Z,2025-09-08T19:50:00.0000000Z,46.03,46.006985,46.166223919082052969280,,45.802890,EndOfDay,44.288615,1.2816904383458763233373624951
AFRM,Short,115,2025-09-08T19:10:00.0000000Z,2025-09-08T19:14:00.0000000Z,2025-09-08T19:50:00.0000000Z,86.93,86.886535,87.361777715160687323800,,86.233095,EndOfDay,75.145600,1.3749605815189850176350889642
DKNG,Short,219,2025-09-09T16:28:00.0000000Z,2025-09-09T16:30:00.0000000Z,2025-09-09T18:40:00.0000000Z,45.48,45.457260,45.776171333977156941160,,45.7990594196441455196305800,Stop,-74.8540729020678687990970200,-1.0717694331573302184835686685
DKNG,Short,219,2025-09-10T19:20:00.0000000Z,2025-09-10T19:22:00.0000000Z,2025-09-10T19:50:00.0000000Z,45.51,45.487245,45.746167288969088015920,,45.52275,EndOfDay,-7.775595,-0.1371260857509213483729289739
MARA,Short,632,2025-09-11T18:50:00.0000000Z,2025-09-11T18:52:00.0000000Z,2025-09-11T19:50:00.0000000Z,15.81,15.802095,15.8771404834364729395000,,15.787890,EndOfDay,8.977560,0.1892852087764180093488855709
DKNG,Short,227,2025-09-12T19:56:00.0000000Z,2025-09-12T19:58:00.0000000Z,2025-09-12T19:58:00.0000000Z,44.02,43.997990,44.245965038565641753920,,43.991985,EndOfDay,1.363135,0.0242161470555045790792045218
LCID,Short,517,2025-09-15T16:04:00.0000000Z,,,19.335,,19.452622513564686530600,,,NoFill,0,0
DKNG,Short,232,2025-09-15T18:54:00.0000000Z,2025-09-15T18:56:00.0000000Z,2025-09-15T19:50:00.0000000Z,42.975,42.9535125,43.125814024931068544960,,42.901440,EndOfDay,12.0808200,0.3022172904205710168086800958
HOOD,Short,87,2025-09-15T18:28:00.0000000Z,2025-09-15T18:32:00.0000000Z,2025-09-15T19:50:00.0000000Z,114.765,114.7076175,115.245536875992741846840,,114.927435,EndOfDay,-19.1241225,-0.4086439526263987940008135842
