symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
GOOGL,Short,65,2025-04-16T17:30:00.0000000Z,2025-04-16T17:35:00.0000000Z,2025-04-16T19:50:00.0000000Z,153.78,153.703110,155.51143676063570975600,,153.7018125,EndOfDay,0.0843375,0.0007175141286654792789437654
GOOGL,Long,62,2025-04-24T18:30:00.0000000Z,2025-04-24T18:35:00.0000000Z,2025-04-24T19:50:00.0000000Z,158.98,159.059490,158.08731318796870911600,,159.150385,EndOfDay,5.635490,0.0934963669932444511194461189
GOOGL,Long,60,2025-05-06T16:10:00.0000000Z,2025-05-06T16:15:00.0000000Z,2025-05-06T19:50:00.0000000Z,164.58,164.662290,163.08501529937389086600,,163.378270,EndOfDay,-77.041200,-0.8140750621881528739428708639
GOOGL,Long,62,2025-05-14T13:30:00.0000000Z,2025-05-14T13:35:00.0000000Z,2025-05-14T19:50:00.0000000Z,160.33,160.410165,159.03687658913569364850,,165.0924125,EndOfDay,290.2993450,3.4095150464811208082587324542
GOOGL,Long,60,2025-05-19T19:50:00.0000000Z,2025-05-19T19:55:00.0000000Z,2025-05-19T19:55:00.0000000Z,166.36,166.443180,165.3239858452834122900,,166.51670,EndOfDay,4.411200,0.0656901214951550455187287101
GOOGL,Long,59,2025-05-19T19:55:00.0000000Z,2025-05-20T13:30:00.0000000Z,2025-05-20T17:30:00.0000000Z,166.6,166.68330,165.3239858452834122900,,165.24132385236077058385500,Stop,-85.07659271071453555255500,-1.0608115442893158463213909713
COIN,Long,37,2025-05-20T17:00:00.0000000Z,2025-05-20T17:05:00.0000000Z,2025-05-20T18:30:00.0000000Z,264.94,265.072470,262.10948493475616206050,,261.978430192288783979469750,Stop,-114.479472885314992759619250,-1.0442306456433633665763406826
GOOGL,Short,59,2025-05-23T19:20:00.0000000Z,2025-05-23T19:25:00.0000000Z,2025-05-23T19:50:00.0000000Z,168.84,168.755580,170.02810523333787231750,,168.574245,EndOfDay,10.698765,0.1425001212151626967392339823
COIN,Short,38,2025-05-23T19:55:00.0000000Z,2025-05-27T13:30:00.0000000Z,2025-05-27T13:30:00.0000000Z,263.1,262.96845,265.7220638421567454400,,265.85492487407782381272000,Stop,-109.68604521495730488336000,-1.048249696412412010538538707
GOOGL,Long,57,2025-05-28T13:30:00.0000000Z,2025-05-28T13:35:00.0000000Z,2025-05-28T18:50:00.0000000Z,173.96,174.046980,172.305775694916451194750,,172.2196228070689929691526250,Stop,-104.1593599970674007583003750,-1.0494789081303841147682017108
GOOGL,Short,59,2025-06-02T17:50:00.0000000Z,2025-06-02T17:55:00.0000000Z,2025-06-02T19:50:00.0000000Z,168.5,168.41575,169.46784786981525267350,,169.552581793750160299836750,Stop,-67.073075831259457690368250,-1.0805380624426003429267568739
GOOGL,Long,56,2025-06-10T13:35:00.0000000Z,2025-06-10T13:40:00.0000000Z,2025-06-10T19:15:00.0000000Z,177.13,177.218565,175.50930274832717269650,,175.421548096953009110151750,Stop,-100.632946570631489831502000,-1.0513406595671784884060800688
GOOGL,Short,57,2025-06-12T19:45:00.0000000Z,2025-06-12T19:50:00.0000000Z,2025-06-12T19:50:00.0000000Z,175.445,175.3572775,176.50107870117956713300,,175.5227175,EndOfDay,-9.4300800,-0.1446405195495395502639087817
GOOGL,Short,56,2025-06-18T13:30:00.0000000Z,2025-06-18T13:35:00.0000000Z,2025-06-18T19:50:00.0000000Z,175.63,175.542185,176.84123495760401477400,,174.066990,EndOfDay,82.610920,1.1355952797387942746786183814
GOOGL,Short,52,2025-06-18T19:50:00.0000000Z,2025-06-18T19:55:00.0000000Z,2025-06-18T19:55:00.0000000Z,173.98,173.893010,176.2809775940813951300,,173.416665,EndOfDay,24.769940,0.1994771625798551479085865496
GOOGL,Short,59,2025-06-24T19:20:00.0000000Z,2025-06-24T19:25:00.0000000Z,2025-06-24T19:50:00.0000000Z,166.94,166.856530,167.86711254546491083350,,166.873395,EndOfDay,-0.995035,-0.0166883943084940030230399407
GOOGL,Long,57,2025-06-26T17:50:00.0000000Z,2025-06-26T17:55:00.0000000Z,2025-06-26T19:50:00.0000000Z,173.25,173.336625,172.115863014683054288250,,173.5381875,EndOfDay,11.4890625,0.1651120385663618509697375558
GOOGL,Long,57,2025-06-26T19:50:00.0000000Z,2025-06-26T19:55:00.0000000Z,2025-06-26T19:55:00.0000000Z,173.625,173.7118125,172.5206768857068740100,,173.3982575,EndOfDay,-17.8726350,-0.2632403869361909625274170984
GOOGL,Long,55,2025-07-11T18:10:00.0000000Z,2025-07-11T18:15:00.0000000Z,2025-07-11T19:50:00.0000000Z,181.05,181.140525,179.35753337410916264400,,180.20985,EndOfDay,-51.187125,-0.5219738480459806967997243339
GOOGL,Long,52,2025-07-22T16:15:00.0000000Z,2025-07-22T16:20:00.0000000Z,2025-07-22T19:50:00.0000000Z,190.3,190.39515,188.74321793932809397050,,191.444230,EndOfDay,54.552160,0.6350624368736434109497432131
GOOGL,Short,52,2025-07-31T19:50:00.0000000Z,2025-07-31T19:55:00.0000000Z,2025-07-31T19:55:00.0000000Z,191.19,191.094405,192.80856981799867462800,,192.1710375,EndOfDay,-55.9848900,-0.6280799189759315428549257323
