trial,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
6,3035.3370433713585151045496322,-15.436044555123738567188115715,10111.496675261081895612156254,13,0.006803936751468075,3.6758974884058794,2.114829473949425,0.001704401115749218,0.001288709151227358,8,0.0011038020886964175,1.5,2,-0.1538567579707259983313710774,0,0.0010073751610227746810201595,-25.1843790255693670255039875,0,1,1.2149667526108189561215625367,999,0,97.8882103889608225436156900,1
41,2999.8424487247256977489690640,0,9999.606121811814244372422660,24,0.012847867196820615,1.817204731338287108,3.3622037981926470,0.001608293863762308,0.000507605753144066,1,0.0022007939415987550,3.0,0,0,0,0,0,0,1,0.0960612181181424437242266018,999,0,8.3162179418801335310391000,1
11,5.7956475309621871271917889643,-0.5356092855590546265267707535,15.292532755744049757769628541,7,0.014159150709472208,3.0171448903238152,2.4485548361896320,0.000783297534465462,0.000587002670665738,2,0.0006374830802145800,1.5,20,-0.0751365566138182901650869931,0.8218440526991662583192526821,0.0157169739324686729551210562,-122.89637014969222067782685500,0.35,27,0.0480478017990694251272133897,1.1084206799155565251194573271,0.011929084466369160122925674,100.34510116271585338650431000,0.4444444444444444444444444444
46,-982.4538788930292178296429911,-9.021807350783988805093038071,57.398013793602938633532079321,11,0.012927319310106017,3.7384300136651978,2.4587398192187480,0.000794621608590066,0.000278168730567288,8,0.0015491292074085825,1.5,7,-0.1433323049816061883596016729,0.5648914721969722672484696829,0.0067498314918618528323513522,-86.83852738140243163161438875,0.2857142857142857142857142857,13,0.3354516761343072462042224244,2.4074395773127886037490929821,0.0044309918591134404876218588,365.51840252133510461432661750,0.6153846153846153846153846154
29,-983.0082981229620910941401406,-2.8236422849792749695931362630,46.714718120063684719039352987,8,0.010190785710788694,1.92323876410873544,2.4627557783214175,0.00191154324538612,0.001246980873517218,12,0.00024943100998617300,2.0,14,-0.0978568898723998377521985367,0.7527585302554212555162747587,0.0113107720058700749907206036,-104.89104771530937322308984250,0.2857142857142857142857142857,19,0.2934276983675963084390963939,1.7693225299846493267781475497,0.006425540330848787853035238,426.89904446924918744578241250,0.4736842105263157894736842105
37,-983.8211495921654165377521961,-38.599387505038538188919742475,98.34620727714426593899912341,18,0.013666750890513303,3.0496414817169492,2.4738494546496555,0.0000655688969723736,0.00152544267174110,3,0.0023381797258454275,2.5,2,-0.384601008889551239068088671,0,0.0027857323216682856422175075,-69.6433080417071410554376875,0,2,0.4684486392527207697640194578,5.1541100863613254150831461429,0.000795150234821303764685676,82.5785402660938591300201500,0.5
1,-1000.0,0,0,7,0.0029120736154318204,3.5044832973296216,3.2889874406573295,0.001594981116985428,0.001654616582046550,2,0.0018403265587241975,1.0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1000.0,0,0,18,0.004993558390063033,2.6517089751789850,2.2559321528561110,0.0000416217697978122,0.000269667204595016,9,0.0004877276697604575,3.0,0,0,0,0,0,0,0,0,0,0,0,0
3,-1000.0,0,0,27,0.006665245829459865,2.0281449725051156,3.3535406805358555,0.000717510033732984,0.001415010962362872,7,0.0015513708065503150,2.5,0,0,0,0,0,0,0,0,0,0,0,0
4,-1000.0,0,0,24,0.007151263789344231,2.3395659277865516,3.9022077531098430,0.000421092387484896,0.001035075173263938,6,0.0006320136322788950,2.5,0,0,0,0,0,0,0,0,0,0,0,0
9,-1000.0,0,0,16,0.006870322430445966,3.2240328809358344,3.7835908703429570,0.000519261389281256,0.0001514290059690498,1,0.0007142404644816375,1.0,0,0,0,0,0,0,0,0,0,0,0,0
10,-1000.0,0,0,27,0.009438823288045279,2.9969111062571916,3.6031593250125465,0.0001410233155549612,0.001538050716527762,1,0.0011382185754544200,2.5,0,0,0,0,0,0,0,0,0,0,0,0
13,-1000.0,0,0,27,0.006909437007228585,2.4105730149012868,3.7249149615992390,0.001989991120058108,0.001289936502133466,12,0.0005374892605643200,3.0,0,0,0,0,0,0,0,0,0,0,0,0
14,-1000.0,0,0,25,0.007382733987356882,3.4481258661710304,2.3774575960717420,0.001697524226129764,0.000550604439596926,1,0.0007617009900331975,2.5,0,0,0,0,0,0,0,0,0,0,0,0
15,-1000.0,0,0,9,0.004184857935730769,3.962581123394230,2.7382521823692370,0.001082172742617396,0.00000927492510959270,8,0.0011418755881683325,3.0,0,0,0,0,0,0,0,0,0,0,0,0
16,-1000.0,0,0,21,0.01233682923733109,3.4733340033671514,3.0053595872620865,0.0013354540846010,0.001787519811553656,9,0.0004285789341333225,,0,0,0,0,0,0,0,0,0,0,0,0
17,-1000.0,0,0,16,0.007507896785395173,3.8687121956929164,4.6789779922361370,0.000690176315927028,0.000353306126014006,6,0.000788847757870725,3.0,0,0,0,0,0,0,0,0,0,0,0,0
18,-1000.0,0,0,23,0.006742551948755309,3.0681100881044332,2.7727460427082835,0.000064622764505736,0.001013860829646634,4,0.0019381108644595875,,0,0,0,0,0,0,0,0,0,0,0,0
21,-1000.0,0,0,27,0.005245474048073153,3.6105512416039356,4.3221842485117645,0.001812287763605028,0.000451094536320816,2,0.002245252884340125,,0,0,0,0,0,0,0,0,0,0,0,0
