symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
GOOGL,Long,40,2025-08-12T13:30:00.0000000Z,2025-08-12T13:35:00.0000000Z,2025-08-12T19:50:00.0000000Z,203.33,203.431665,200.32789143356530526700,,203.468215,EndOfDay,1.462000,0.011775987912025744753949213
GOOGL,Long,48,2025-08-15T13:30:00.0000000Z,2025-08-15T13:35:00.0000000Z,2025-08-15T18:00:00.0000000Z,204.58,204.682290,202.35695849079580905750,,202.255780011550411152971250,Stop,-116.472479445580264657380000,-1.0435114214231005229021959694
HOOD,Long,81,2025-08-15T19:10:00.0000000Z,2025-08-15T19:15:00.0000000Z,2025-08-15T19:50:00.0000000Z,113.54,113.596770,112.063474444038390380250,,114.072935,EndOfDay,38.569365,0.3105500424550386776288958202
GOOGL,Short,49,2025-08-19T13:30:00.0000000Z,2025-08-19T13:35:00.0000000Z,2025-08-19T19:50:00.0000000Z,201.505,201.4042475,203.78361138557570586850,,201.480690,EndOfDay,-3.7456825,-0.0321272842978803697740172975
GOOGL,Short,50,2025-08-20T13:30:00.0000000Z,2025-08-20T13:35:00.0000000Z,2025-08-20T19:50:00.0000000Z,199.49,199.390255,201.73266925125183038600,,200.1000,EndOfDay,-35.487250,-0.302997217345607796081893669
GOOGL,Long,46,2025-08-28T13:30:00.0000000Z,2025-08-28T13:35:00.0000000Z,2025-08-28T19:50:00.0000000Z,209.11,209.214555,206.52504205170773063700,,212.033930,EndOfDay,129.691250,1.0482845980682813683482859269
GOOGL,Long,47,2025-09-02T19:50:00.0000000Z,2025-09-02T19:55:00.0000000Z,2025-09-02T19:55:00.0000000Z,211.4,211.50570,209.38372765943149459800,,211.2493225,EndOfDay,-12.0497425,-0.1208203778619060428063002954
GOOGL,Long,43,2025-09-04T17:30:00.0000000Z,2025-09-04T17:35:00.0000000Z,2025-09-04T19:50:00.0000000Z,229.41,229.524705,227.46541389849544216950,,231.943970,EndOfDay,104.028395,1.174804765694582126084796215
COIN,Long,31,2025-09-11T19:30:00.0000000Z,2025-09-11T19:35:00.0000000Z,2025-09-11T19:50:00.0000000Z,321.33,321.490665,318.99333036676994073900,,322.958440,EndOfDay,45.501025,0.5877366134555928168420846387
GOOGL,Long,39,2025-09-19T19:35:00.0000000Z,2025-09-19T19:40:00.0000000Z,2025-09-19T19:50:00.0000000Z,255.87,255.997935,253.77331781293231890150,,254.37275,EndOfDay,-63.382215,-0.7305459156962612506872575224
GOOGL,Short,40,2025-09-25T17:35:00.0000000Z,2025-09-25T17:40:00.0000000Z,2025-09-25T19:50:00.0000000Z,244.46,244.337770,246.59327671617016045200,,245.432655,EndOfDay,-43.795400,-0.4854275060014494038711435416
GOOGL,Long,40,2025-10-01T18:30:00.0000000Z,2025-10-01T18:40:00.0000000Z,2025-10-01T19:50:00.0000000Z,245.18,245.302590,243.053246783968204047750,,244.917480,EndOfDay,-15.404400,-0.1712099768746701640531541645
GOOGL,Long,40,2025-10-02T19:00:00.0000000Z,2025-10-02T19:05:00.0000000Z,2025-10-02T19:50:00.0000000Z,244.94,245.062470,242.9882766565199366850,,245.1723525,EndOfDay,4.3953000,0.0529760161199052493950583702
SOXL,Long,254,2025-10-02T19:25:00.0000000Z,2025-10-02T19:30:00.0000000Z,2025-10-02T19:50:00.0000000Z,39.295,39.3146475,38.96208566051479692300,,39.020480,EndOfDay,-74.7185450,-0.8343713557585580066857036847
GOOGL,Long,31,2025-10-06T13:30:00.0000000Z,2025-10-06T13:35:00.0000000Z,2025-10-06T19:50:00.0000000Z,247.76,247.883880,243.95783086613254194450,,250.97445,EndOfDay,95.807670,0.78719595568472997176427847
GOOGL,Short,39,2025-10-08T13:30:00.0000000Z,2025-10-08T13:35:00.0000000Z,2025-10-08T19:50:00.0000000Z,244.35,244.227825,247.36363059101376246250,,244.802340,EndOfDay,-22.406085,-0.1832112939802072575094853582
GOOGL,Long,41,2025-10-13T17:55:00.0000000Z,2025-10-13T18:00:00.0000000Z,2025-10-13T19:50:00.0000000Z,243.33,243.451665,241.753844235002856792750,,244.037920,EndOfDay,24.036455,0.3452985215438724159513576532
COIN,Short,29,2025-10-15T19:50:00.0000000Z,2025-10-15T19:55:00.0000000Z,2025-10-15T19:55:00.0000000Z,335.64,335.472180,338.920688845964720892250,,336.458145,EndOfDay,-28.592985,-0.2859105323605966091461229065
SOXL,Long,210,2025-10-21T19:50:00.0000000Z,2025-10-21T19:55:00.0000000Z,2025-10-21T19:55:00.0000000Z,41.935,41.9559675,41.36098267398928416300,,41.429275,EndOfDay,-110.6054250,-0.8852200543186863158570531535
GOOGL,Short,39,2025-10-21T19:50:00.0000000Z,2025-10-22T12:30:00.0000000Z,2025-10-21T19:55:00.0000000Z,250.78,250.654610,252.63605256559270089800,,250.5602175,EndOfDay,3.6813075,0.0476382720544638917525984138
GOOGL,Long,37,2025-10-27T18:00:00.0000000Z,2025-10-27T18:05:00.0000000Z,2025-10-27T19:50:00.0000000Z,268.71,268.844355,266.12763743232592818750,,269.655105,EndOfDay,29.997750,0.2984299912685170025557064357
GOOGL,Long,36,2025-10-29T17:35:00.0000000Z,2025-10-29T17:40:00.0000000Z,2025-10-29T19:50:00.0000000Z,272.715,272.8513575,270.50562448191686740050,,275.06240,EndOfDay,79.5975300,0.9425806274436133729700825572
GOOGL,Long,35,2025-11-03T19:50:00.0000000Z,2025-11-03T19:55:00.0000000Z,2025-11-03T20:50:00.0000000Z,284.36,284.502180,281.99034393392597506200,,283.628115,EndOfDay,-30.592275,-0.3479785212918592241982874853
GOOGL,Short,36,2025-11-14T20:45:00.0000000Z,2025-11-14T20:50:00.0000000Z,2025-11-14T20:50:00.0000000Z,275.97,275.832015,278.18779018053503251900,,276.348105,EndOfDay,-18.579240,-0.2190743854779843973436111118
GOOGL,Long,31,2025-11-26T20:35:00.0000000Z,2025-11-26T20:40:00.0000000Z,2025-11-26T20:50:00.0000000Z,319.9,320.05995,318.238677347947758294750,,319.8050175,EndOfDay,-7.9029075,-0.1399749234211240280064570568
GOOGL,Long,31,2025-12-05T20:55:00.0000000Z,2025-12-05T21:40:00.0000000Z,2025-12-05T21:40:00.0000000Z,321.355,321.5156775,319.867928236265847545250,,320.609615,EndOfDay,-28.0879375,-0.549878868066776419000361407
GOOGL,Short,24,2025-12-11T18:20:00.0000000Z,2025-12-11T18:25:00.0000000Z,2025-12-11T20:50:00.0000000Z,310.67,310.514665,315.62498757877865230200,,312.25605,EndOfDay,-41.793240,-0.340758332405737174591054074
GOOGL,Long,32,2025-12-19T20:50:00.0000000Z,2025-12-19T20:55:00.0000000Z,2025-12-19T20:55:00.0000000Z,305.72,305.872860,303.59041245941917058550,,307.056395,EndOfDay,37.873120,0.5185376570358406030517883872
GOOGL,Long,32,2025-12-19T20:55:00.0000000Z,2025-12-22T14:30:00.0000000Z,2025-12-22T20:50:00.0000000Z,307.21,307.363605,303.59041245941917058550,,309.785030,EndOfDay,77.485600,0.6417443514894832279260472761
TSLL,Short,462,2025-12-26T20:40:00.0000000Z,2025-12-26T20:45:00.0000000Z,2025-12-26T20:50:00.0000000Z,21.61,21.599195,21.77000041116464902400,,21.490740,EndOfDay,50.106210,0.6349623191706384165533133799
SOXL,Long,226,2025-12-24T14:30:00.0000000Z,2025-12-24T14:35:00.0000000Z,2025-12-26T20:50:00.0000000Z,44.12,44.142060,43.59995321989880558700,,44.287845,EndOfDay,32.947410,0.2689230338952530559436846806
HOOD,Short,86,2025-12-30T20:05:00.0000000Z,2025-12-30T20:10:00.0000000Z,2025-12-30T20:50:00.0000000Z,115.945,115.8870275,116.94372003956966104850,,115.45770,EndOfDay,36.9221650,0.4062936794981480573680496327
GOOGL,Long,29,2025-12-30T14:30:00.0000000Z,2025-12-30T14:35:00.0000000Z,2025-12-30T20:50:00.0000000Z,316.72,316.878360,312.611264770505523644250,,313.872985,EndOfDay,-87.155875,-0.7043140212167346897251823319
SOXL,Short,233,2025-12-31T19:25:00.0000000Z,2025-12-31T19:30:00.0000000Z,2025-12-31T20:50:00.0000000Z,42.82,42.798590,43.30989511945393640850,,42.4562175,EndOfDay,79.7727925,0.6696050694067897248650245702
COIN,Short,43,2025-12-30T20:55:00.0000000Z,2025-12-31T14:30:00.0000000Z,2025-12-31T20:50:00.0000000Z,231.63,231.514185,233.74737573825866718600,,225.882885,EndOfDay,242.145900,2.5216386148865242317597168306
