symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
DKNG,Long,263,2025-06-11T16:55:00.0000000Z,2025-06-11T17:45:00.0000000Z,2025-06-11T18:00:00.0000000Z,38.0022369399691114667925,38.02123805843909602252589625,37.7364798968171909722100,,37.71761165686878237672389500,Stop,-79.85374361299248884592632875,-1.0662605764868695311319913752
BROS,Short,157,2025-07-11T18:00:00.0000000Z,2025-07-11T18:05:00.0000000Z,2025-07-11T19:50:00.0000000Z,63.267884488127384981115,63.2362505458833212886244425,63.618008022225107107020,,63.0315,EndOfDay,32.1458357036814423140374725,0.5363367021527798710183746755
DKNG,Long,216,2025-08-22T13:45:00.0000000Z,2025-08-22T13:50:00.0000000Z,2025-08-22T19:50:00.0000000Z,46.2202894956690036080375,46.24339964041683810984151875,45.7804005421072316799100,,47.2313725,EndOfDay,213.40213766996296827423195000,2.1338548243187003271635321958
DKNG,Long,212,2025-08-26T13:30:00.0000000Z,2025-08-26T13:35:00.0000000Z,2025-08-26T19:50:00.0000000Z,47.1311820444737419574325,47.15474763549597882841121625,46.76465667075452237520,,47.696140,EndOfDay,114.77518127485248837682215500,1.3878618410524937290647239634
DKNG,Long,207,2025-08-28T17:20:00.0000000Z,2025-08-28T17:25:00.0000000Z,2025-08-28T19:50:00.0000000Z,48.207236429050768029520,48.2313400472652934135347600,47.723931679385384372640,,48.2208775,EndOfDay,-2.1657472839157366016953200,-0.0206195796671797076735212938
BROS,Short,140,2025-09-04T19:15:00.0000000Z,2025-09-04T19:20:00.0000000Z,2025-09-04T19:50:00.0000000Z,71.080214453343809275325,71.0446743461171373706873375,71.594026960987638232440,,71.2005825,EndOfDay,-21.8271415436007681037727500,-0.2838034254549146513860072095
BROS,Short,184,2025-09-24T19:55:00.0000000Z,,,54.036947291375497451895,,54.521143260198581645280,,,NoFill,0,0
DKNG,Short,290,2025-10-20T13:50:00.0000000Z,2025-10-20T13:55:00.0000000Z,2025-10-20T19:50:00.0000000Z,34.4012253647349834489925,34.38402475205261595726800375,34.736212969190395905060,,33.6017925,EndOfDay,226.84735309525862760772108750,2.221063096346002966393171309
CRWV,Short,79,2025-11-03T20:50:00.0000000Z,2025-11-03T20:55:00.0000000Z,2025-11-03T20:55:00.0000000Z,126.37592590791274593575,126.312737944958789562782125,127.586280364220212444140,,126.333135,EndOfDay,-1.611367348255624540212125,-0.0160159997285677285485108608
AFRM,Long,143,2025-11-28T14:40:00.0000000Z,2025-11-28T14:45:00.0000000Z,2025-12-01T20:50:00.0000000Z,69.618216230076430989475,69.6530253381914692049697375,68.9628799173530632847100,,68.92839847739438675306764500,Stop,-103.62164109398279062199922750,-1.0499625715357027449018225375
BROS,Long,162,2025-12-12T14:30:00.0000000Z,2025-12-12T14:55:00.0000000Z,2025-12-12T15:55:00.0000000Z,61.490251948434150333335,61.5209970744083674085016675,60.844015912013736483460,,60.8135939040577296152182700,Stop,-114.5993135968033225119103950,-1.0449377466403903329229487142
BROS,Long,163,2025-12-12T20:10:00.0000000Z,2025-12-12T20:15:00.0000000Z,2025-12-12T20:30:00.0000000Z,61.36012444146204485485,61.390804503682775877277425,60.963925288092594233140,,60.9334433254485479360234300,Stop,-74.5498720521791544244011850,-1.0714065279610849055800290026
