symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
PENN,Short,525,2025-01-07T20:10:00.0000000Z,2025-01-07T20:40:00.0000000Z,2025-01-07T20:50:00.0000000Z,19.03,19.020485,19.204492275389331530340,,19.0345125,EndOfDay,-7.3644375,-0.0762333987627387786525475623
PENN,Short,500,2025-01-23T19:20:00.0000000Z,2025-01-23T19:25:00.0000000Z,2025-01-23T20:50:00.0000000Z,19.99,19.980005,20.125187058784755449460,,19.869930,EndOfDay,55.037500,0.7581859695432160680409118021
BROS,Short,153,2025-02-11T20:55:00.0000000Z,,,64.195,,64.8139104854398153497900,,,NoFill,0,0
DKNG,Short,302,2025-04-29T19:25:00.0000000Z,2025-04-29T19:30:00.0000000Z,2025-04-29T19:50:00.0000000Z,33.06,33.043470,33.335155690110402984660,,33.3518232679554581861523300,Stop,-93.1226869225483722180036600,-1.0571422541803354359983193073
DKNG,Long,292,2025-05-05T19:40:00.0000000Z,2025-05-05T19:45:00.0000000Z,2025-05-05T19:50:00.0000000Z,34.195,34.2120975,33.954338326329886117720,,34.0979425,EndOfDay,-33.3332600,-0.4428746351666156178471312587
PATH,Long,802,2025-05-08T19:00:00.0000000Z,2025-05-08T19:05:00.0000000Z,2025-05-08T19:50:00.0000000Z,12.455,12.4612275,12.39063552814863413360,,12.4587675,EndOfDay,-1.9729200,-0.0348481553281954692350081568
PATH,Long,766,2025-05-13T13:45:00.0000000Z,,,13.045,,12.9352239445067797467300,,,NoFill,0,0
PATH,Long,761,2025-05-15T13:35:00.0000000Z,2025-05-15T13:40:00.0000000Z,2025-05-15T13:50:00.0000000Z,13.13,13.136565,13.020159752562637319420,,13.0136496726863560007602900,Stop,-93.5385640856830834214193100,-1.0559260000695791088795302709
HOOD,Long,161,2025-05-19T13:50:00.0000000Z,,,61.8,,61.333645864335738961320,,,NoFill,0,0
HOOD,Long,154,2025-05-19T13:55:00.0000000Z,2025-05-19T14:00:00.0000000Z,2025-05-19T19:50:00.0000000Z,61.95,61.980975,61.333645864335738961320,,64.297835,EndOfDay,356.796440,3.5791066280718832679924075636
