symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
TMUS,Long,238,2025-12-03T19:35:00.0000000Z,2025-12-03T19:40:00.0000000Z,2025-12-03T20:05:00.0000000Z,209.325,209.4296625,208.751849440512326279760,,208.6474735157920701166201200,Stop,-186.1609782414873122444114400,-1.153989250073093756489230869
PFE,Long,1944,2025-12-03T19:20:00.0000000Z,2025-12-03T19:25:00.0000000Z,2025-12-03T20:50:00.0000000Z,25.7,25.71285,25.616545563109137845040,,25.6037372903275832761174800,Stop,-212.1151076031781112276188800,-1.1329977433549573217219786238
LCID,Long,3796,2025-12-03T18:50:00.0000000Z,2025-12-03T18:55:00.0000000Z,2025-12-03T20:50:00.0000000Z,13.165,13.1715825,13.0932343539779141327400,,13.553220,EndOfDay,1448.6959500,4.8710469791131841588450889719
GILD,Long,363,2025-12-03T19:30:00.0000000Z,2025-12-03T19:35:00.0000000Z,2025-12-03T20:50:00.0000000Z,125.18,125.242590,124.143259059938741406720,,124.787575,EndOfDay,-165.170445,-0.4139017500723166774824328533
DAL,Long,739,2025-12-03T20:25:00.0000000Z,2025-12-03T20:30:00.0000000Z,2025-12-03T20:50:00.0000000Z,67.575,67.6087875,67.100951316949814238120,,67.396285,EndOfDay,-157.0393475,-0.4184469462645593356536268502
S,Long,2959,2025-12-03T19:40:00.0000000Z,2025-12-03T19:45:00.0000000Z,2025-12-03T20:50:00.0000000Z,16.885,16.8934425,16.787736143817424840680,,16.971510,EndOfDay,231.0017325,0.7385317479410835849528157276
ABNB,Long,417,2025-12-03T20:30:00.0000000Z,2025-12-03T20:35:00.0000000Z,2025-12-03T20:50:00.0000000Z,119.68,119.739840,119.2589177220859647333000,,119.989975,EndOfDay,104.306295,0.5201152275268719550139375456
ABNB,Long,416,2025-12-03T20:50:00.0000000Z,2025-12-04T14:35:00.0000000Z,2025-12-03T20:55:00.0000000Z,120.05,120.110025,119.2589177220859647333000,,120.059940,EndOfDay,-20.835360,-0.0588468707760935814154869073
BKNG,Long,9,2025-12-04T14:30:00.0000000Z,2025-12-04T14:35:00.0000000Z,2025-12-04T14:50:00.0000000Z,5078.63,5081.169315,5044.2247772856012904032600,,5041.7026648969584897580583700,Stop,-355.1998509273735921774746700,-1.0682675314045095301225482461
SIRI,Long,2300,2025-12-04T18:50:00.0000000Z,2025-12-04T18:55:00.0000000Z,2025-12-04T19:15:00.0000000Z,21.72,21.730860,21.6020869200223623396600,,21.59128587656235115849017000,Stop,-321.02048390659233547260900000,-1.0838765638119928278434238584
