symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
CCL,Long,2091,2025-06-04T19:20:00.0000000Z,2025-06-04T19:25:00.0000000Z,2025-06-04T19:50:00.0000000Z,23.895,23.9069475,23.766795005273388234840,,23.8030925,EndOfDay,-217.1608050,-0.7410142802137385143151901102
CCL,Long,2062,2025-06-06T18:00:00.0000000Z,2025-06-06T18:05:00.0000000Z,2025-06-06T19:50:00.0000000Z,24.23,24.242115,24.09675051018463005720,,24.2628625,EndOfDay,42.7813450,0.142727429693123633620909721
AAL,Long,4238,2025-06-10T18:45:00.0000000Z,,,11.79,,11.708421098517096181320,,,NoFill,0,0
COIN,Long,195,2025-06-10T17:40:00.0000000Z,2025-06-10T18:00:00.0000000Z,2025-06-10T19:50:00.0000000Z,256.02,256.148010,254.275710466599720740520,,254.712580,EndOfDay,-279.908850,-0.7666668577292857541508893727
CRMD,Long,3365,2025-06-12T17:35:00.0000000Z,2025-06-12T17:40:00.0000000Z,2025-06-12T19:35:00.0000000Z,14.85,14.857425,14.768008507694065806840,,14.7606245034402187739365800,Stop,-325.7336709236638257034083000,-1.0825798917338763452560450132
ACB,Long,8350,2025-06-17T19:20:00.0000000Z,2025-06-17T19:25:00.0000000Z,2025-06-17T19:35:00.0000000Z,5.985,5.9879925,5.949197740066329827400,,5.9462231411962966624863000,Stop,-348.7741460109228682393950000,-1.0766752745762320128334104285
ABNB,Long,376,2025-06-24T19:45:00.0000000Z,2025-06-24T19:50:00.0000000Z,2025-06-24T19:50:00.0000000Z,132.7,132.76635,132.202172301104223492240,,132.293820,EndOfDay,-177.671280,-0.8375552612675903275526207445
BKNG,Long,9,2025-06-25T19:45:00.0000000Z,,,5479.08,,5448.335282262728718082440,,,NoFill,0,0
ABNB,Long,372,2025-06-27T16:30:00.0000000Z,2025-06-27T16:40:00.0000000Z,2025-06-27T18:35:00.0000000Z,134.14,134.207070,133.2170354449978915216200,,133.15042692727539257585919000,Stop,-393.07122305355396178038132000,-1.0672789827243525752293638974
ABNB,Long,373,2025-06-27T19:30:00.0000000Z,2025-06-27T19:35:00.0000000Z,2025-06-27T19:50:00.0000000Z,133.81,133.876905,133.072054995870224660280,,134.242845,EndOfDay,136.495620,0.4546685694506068884104038313
COTY,Long,9276,2025-07-01T18:55:00.0000000Z,2025-07-01T19:00:00.0000000Z,2025-07-01T19:15:00.0000000Z,4.92,4.922460,4.879342012020788160960,,4.8769023410147777668795200,Stop,-422.5928447469214344255724800,-1.056581281278398585365773198
ABNB,Long,369,2025-07-02T19:20:00.0000000Z,2025-07-02T19:25:00.0000000Z,2025-07-02T19:50:00.0000000Z,135.27,135.337635,134.871812295386089145880,,135.4172575,EndOfDay,29.3807025,0.1709287658402003852722582239
ABNB,Long,366,2025-07-07T17:55:00.0000000Z,2025-07-07T18:15:00.0000000Z,2025-07-07T19:50:00.0000000Z,136.24,136.308120,135.5767172376964694027400,,137.13140,EndOfDay,301.320480,1.1256178434534549155695691076
ABNB,Long,364,2025-07-07T19:50:00.0000000Z,2025-07-07T19:55:00.0000000Z,2025-07-07T19:55:00.0000000Z,137.2,137.26860,136.38160869664661990880,,136.941495,EndOfDay,-119.066220,-0.3687803913785165395944002075
ABNB,Long,362,2025-07-08T16:20:00.0000000Z,2025-07-08T16:25:00.0000000Z,2025-07-08T17:10:00.0000000Z,138,138.0690,137.051518358133080578440,,136.9829925989540140381507800,Stop,-393.1346791786469181894176400,-1.0673483985945264888928455656
AMC,Long,14872,2025-07-10T16:15:00.0000000Z,,,2.99,,2.9646002183691878887800,,,NoFill,0,0
ABNB,Long,358,2025-07-14T16:45:00.0000000Z,2025-07-14T16:50:00.0000000Z,2025-07-14T18:25:00.0000000Z,139.33,139.399665,138.5663140852255998538200,,138.49703092818298705389309000,Stop,-323.14299771049063470627378000,-1.0831380344273921248896832264
AMC,Long,10803,2025-07-16T17:55:00.0000000Z,2025-07-16T18:00:00.0000000Z,2025-07-16T19:50:00.0000000Z,3.2,3.20160,3.1645732516487283871800,,3.1834075,EndOfDay,-196.5335775,-0.4913339898877513342204402629
CCL,Long,1709,2025-07-17T17:15:00.0000000Z,2025-07-17T17:25:00.0000000Z,2025-07-17T19:50:00.0000000Z,29.235,29.2496175,29.066080387181211442440,,29.395295,EndOfDay,248.9628475,0.7937223036946841566005969451
ABNB,Long,358,2025-07-17T19:50:00.0000000Z,2025-07-17T19:55:00.0000000Z,2025-07-17T19:55:00.0000000Z,139.47,139.539735,138.831278354320991014200,,139.210360,EndOfDay,-117.916250,-0.4649190631620312890752305575
ABNB,Long,357,2025-07-18T18:40:00.0000000Z,2025-07-18T18:45:00.0000000Z,2025-07-18T19:50:00.0000000Z,139.645,139.7148225,139.021252735936554487680,,139.2353475,EndOfDay,-171.1725750,-0.6913147383918241024249205116
ABNB,Long,358,2025-07-21T18:00:00.0000000Z,2025-07-21T18:05:00.0000000Z,2025-07-21T19:25:00.0000000Z,139.27,139.339635,138.571313411057588366280,,138.5020277543520595720968600,Stop,-299.8633939419626731893241200,-1.0901779381221083901028988961
CCL,Long,1669,2025-07-22T19:45:00.0000000Z,2025-07-22T19:50:00.0000000Z,2025-07-22T19:50:00.0000000Z,29.94,29.954970,29.805980610315511286520,,29.8700575,EndOfDay,-141.7189625,-0.5699231346595699293349151281
ATAT,Long,1442,2025-08-04T19:55:00.0000000Z,2025-08-05T13:55:00.0000000Z,2025-08-05T14:00:00.0000000Z,34.655,34.6723275,34.475350937392781924160,,34.4581132619240855331979200,Stop,-308.8969313054686611285993600,-1.0875113020581501798781370546
AAL,Long,4308,2025-08-06T17:55:00.0000000Z,2025-08-06T18:15:00.0000000Z,2025-08-06T19:50:00.0000000Z,11.6,11.60580,11.528445368565509732760,,11.734130,EndOfDay,552.845640,1.6589827605691524404499586023
ATAT,Long,1435,2025-08-07T17:00:00.0000000Z,2025-08-07T17:05:00.0000000Z,2025-08-07T17:30:00.0000000Z,34.825,34.8424125,34.615332060688460273040,,34.5980243946581160429034800,Stop,-350.6969311656034784335062000,-1.0762182162533128970020384093
CCL,Long,1691,2025-08-12T18:40:00.0000000Z,2025-08-12T18:45:00.0000000Z,2025-08-12T19:50:00.0000000Z,29.54,29.554770,29.4310311729163728520200,,29.5702075,EndOfDay,26.1048125,0.1247587387390279891183480166
CCL,Long,1686,2025-08-12T19:55:00.0000000Z,,,29.64,,29.526018363724154588760,,,NoFill,0,0
CCL,Long,1686,2025-08-12T20:40:00.0000000Z,,,29.64,,29.526018363724154588760,,,NoFill,0,0
