symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
CCL,Long,2091,2025-06-04T19:20:00.0000000Z,2025-06-04T19:25:00.0000000Z,2025-06-04T19:50:00.0000000Z,23.895,23.9069475,23.766795005273388234840,,23.8030925,EndOfDay,-217.1608050,-0.7410142802137385143151901102
CCL,Long,2062,2025-06-06T18:00:00.0000000Z,2025-06-06T18:05:00.0000000Z,2025-06-06T19:50:00.0000000Z,24.23,24.242115,24.09675051018463005720,,24.2628625,EndOfDay,42.7813450,0.142727429693123633620909721
AAL,Long,4238,2025-06-10T18:45:00.0000000Z,,,11.79,,11.708421098517096181320,,,NoFill,0,0
COIN,Long,195,2025-06-10T17:40:00.0000000Z,2025-06-10T18:00:00.0000000Z,2025-06-10T19:50:00.0000000Z,256.02,256.148010,254.275710466599720740520,,254.712580,EndOfDay,-279.908850,-0.7666668577292857541508893727
COTY,Short,9975,2025-06-12T16:20:00.0000000Z,2025-06-12T16:25:00.0000000Z,2025-06-12T16:35:00.0000000Z,5.015,5.0124925,5.040679561355579440320,,5.0431999011362572300401600,Stop,-306.3063263341658696505960000,-1.0894147761231202383945884326
CCL,Short,2131,2025-06-12T18:25:00.0000000Z,2025-06-12T18:30:00.0000000Z,2025-06-12T18:50:00.0000000Z,23.465,23.4532675,23.5781787021741637511000,,23.58996779152525083297555000,Stop,-291.30832124030952507089705000,-1.0943797605490142409358440438
CRMD,Long,3365,2025-06-12T17:35:00.0000000Z,2025-06-12T17:40:00.0000000Z,2025-06-12T19:35:00.0000000Z,14.85,14.857425,14.768008507694065806840,,14.7606245034402187739365800,Stop,-325.7336709236638257034083000,-1.0825798917338763452560450132
ABNB,Short,368,2025-06-13T18:30:00.0000000Z,2025-06-13T18:35:00.0000000Z,2025-06-13T19:50:00.0000000Z,135.58,135.512210,136.268371078313035465000,,135.317625,EndOfDay,71.607280,0.257332737138641413873569694
ACB,Long,8350,2025-06-17T19:20:00.0000000Z,2025-06-17T19:25:00.0000000Z,2025-06-17T19:35:00.0000000Z,5.985,5.9879925,5.949197740066329827400,,5.9462231411962966624863000,Stop,-348.7741460109228682393950000,-1.0766752745762320128334104285
ABNB,Long,376,2025-06-24T19:45:00.0000000Z,2025-06-24T19:50:00.0000000Z,2025-06-24T19:50:00.0000000Z,132.7,132.76635,132.202172301104223492240,,132.293820,EndOfDay,-177.671280,-0.8375552612675903275526207445
BKNG,Long,9,2025-06-25T19:45:00.0000000Z,,,5479.08,,5448.335282262728718082440,,,NoFill,0,0
ABNB,Short,386,2025-06-25T19:50:00.0000000Z,2025-06-25T19:55:00.0000000Z,2025-06-25T19:55:00.0000000Z,129.555,129.4902225,130.0125276941306645524600,,129.734835,EndOfDay,-94.4204250,-0.4683325051115718807443561395
ABNB,Short,227,2025-06-26T13:30:00.0000000Z,2025-06-26T13:35:00.0000000Z,2025-06-26T13:55:00.0000000Z,128.315,128.2508425,130.0125276941306645524600,,130.07753395797772988473623000,Stop,-414.65896096094468383512421000,-1.0369000455153077731680241843
ABNB,Long,372,2025-06-27T16:30:00.0000000Z,2025-06-27T16:40:00.0000000Z,2025-06-27T18:35:00.0000000Z,134.14,134.207070,133.2170354449978915216200,,133.15042692727539257585919000,Stop,-393.07122305355396178038132000,-1.0672789827243525752293638974
ABNB,Long,373,2025-06-27T19:30:00.0000000Z,2025-06-27T19:35:00.0000000Z,2025-06-27T19:50:00.0000000Z,133.81,133.876905,133.072054995870224660280,,134.242845,EndOfDay,136.495620,0.4546685694506068884104038313
COTY,Long,9276,2025-07-01T18:55:00.0000000Z,2025-07-01T19:00:00.0000000Z,2025-07-01T19:15:00.0000000Z,4.92,4.922460,4.879342012020788160960,,4.8769023410147777668795200,Stop,-422.5928447469214344255724800,-1.056581281278398585365773198
ABNB,Long,369,2025-07-02T19:20:00.0000000Z,2025-07-02T19:25:00.0000000Z,2025-07-02T19:50:00.0000000Z,135.27,135.337635,134.871812295386089145880,,135.4172575,EndOfDay,29.3807025,0.1709287658402003852722582239
ABNB,Long,366,2025-07-07T17:55:00.0000000Z,2025-07-07T18:15:00.0000000Z,2025-07-07T19:50:00.0000000Z,136.24,136.308120,135.5767172376964694027400,,137.13140,EndOfDay,301.320480,1.1256178434534549155695691076
ABNB,Long,364,2025-07-07T19:50:00.0000000Z,2025-07-07T19:55:00.0000000Z,2025-07-07T19:55:00.0000000Z,137.2,137.26860,136.38160869664661990880,,136.941495,EndOfDay,-119.066220,-0.3687803913785165395944002075
ABNB,Long,362,2025-07-08T16:20:00.0000000Z,2025-07-08T16:25:00.0000000Z,2025-07-08T17:10:00.0000000Z,138,138.0690,137.051518358133080578440,,136.9829925989540140381507800,Stop,-393.1346791786469181894176400,-1.0673483985945264888928455656
COTY,Short,10167,2025-07-08T19:40:00.0000000Z,2025-07-08T19:45:00.0000000Z,2025-07-08T19:50:00.0000000Z,4.92,4.917540,4.9456667521633611770600,,4.9274625,EndOfDay,-100.8820575,-0.3527780222319934789229377389
CCL,Short,1733,2025-07-08T19:50:00.0000000Z,2025-07-08T19:55:00.0000000Z,2025-07-08T19:55:00.0000000Z,28.85,28.835575,28.993908826130604756920,,28.884435,EndOfDay,-84.674380,-0.3085885132321432834005522164
AMC,Long,14872,2025-07-10T16:15:00.0000000Z,,,2.99,,2.9646002183691878887800,,,NoFill,0,0
CCL,Short,1723,2025-07-10T19:50:00.0000000Z,2025-07-10T19:55:00.0000000Z,2025-07-10T19:55:00.0000000Z,29.025,29.0104875,29.2089378153550987211400,,29.11455,EndOfDay,-179.2996875,-0.5243755839530660394327191852
CCL,Short,1725,2025-07-11T13:30:00.0000000Z,2025-07-11T13:35:00.0000000Z,2025-07-11T19:50:00.0000000Z,28.985,28.9705075,29.1689324220110068208200,,28.7793825,EndOfDay,329.6906250,0.9632106595430492993138010823
ABNB,Short,368,2025-07-11T18:35:00.0000000Z,2025-07-11T18:40:00.0000000Z,2025-07-11T19:50:00.0000000Z,135.87,135.802065,136.388387258345311165960,,135.597765,EndOfDay,75.182400,0.3484431932987928195814258049
CCL,Short,1745,2025-07-11T19:55:00.0000000Z,2025-07-14T13:30:00.0000000Z,2025-07-14T13:30:00.0000000Z,28.665,28.6506675,28.823885904418214180560,,28.8382978473704232876502800,Stop,-327.4149561613886369497386000,-1.0832009912607973960340028059
ABNB,Long,358,2025-07-14T16:45:00.0000000Z,2025-07-14T16:50:00.0000000Z,2025-07-14T18:25:00.0000000Z,139.33,139.399665,138.5663140852255998538200,,138.49703092818298705389309000,Stop,-323.14299771049063470627378000,-1.0831380344273921248896832264
