trial,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
374,-992.7001449,-12.89567289,37.59314713,16,0.003898996,3.513418563,3.688511299,0.001222505,0.001236057,9,0.000185865,2,6,-0.15802895,0.37938816,0.003447475,-72.5729536,0.5,17,0.22862885,1.766066653,0.01012324,290.837786,0.529411765
261,-1045.620348,-105.6797221,44.46871354,13,0.002557046,3.355674541,3.133829339,0.001618684,0.001139841,11,0.001930738,2.5,1,-1.054890046,0,0.00381435,-95.35874813,0,12,0.274534405,1.770978874,0.013890314,267.7284568,0.583333333
47,-1045.403852,-106.6954403,46.53353016,10,0.002162272,3.380603946,3.813493238,0.000429351,0.001333813,11,0.000791864,2.5,1,-1.06533578,0,0.003237246,-80.93114075,0,11,0.292971358,1.759041623,0.007080437,216.6539385,0.454545455
380,-992.9951079,-8.923719348,30.89780921,19,0.003466697,3.036210801,3.020337457,0.000627309,0.000699845,9,0.001115238,3,1,-0.089108574,0,0.00025724,-6.430990669,0,11,0.160516506,1.80302269,0.004422105,180.5681224,0.454545455
99,-983.9384374,-25.97008821,79.10903879,18,0.003809215,3.1055102,4.352620353,0.00178446,0.001787139,3,0.001343356,3,2,-0.258812864,0,0.001776035,-44.40088508,0,5,0.416213342,3.761618598,0.002569628,177.4083063,0.6
30,-1025.904744,-65.34561535,33.25656251,23,0.005129888,3.754766732,4.600832869,0.001795123,0.00041878,12,0.000363166,3,2,-0.634951871,0,0.003675232,-91.88081192,0,9,0.185082949,1.505727252,0.006180098,127.6570341,0.555555556
326,3030.263799,0,10075.6595,22,0.003821063,2.974199466,4.202341783,0.001907181,0.000912212,9,3.01388E-05,3,0,0,0,0,0,0,2,0.856594971,999,0,126.8782102,1
95,-974.875358,0,62.81160499,27,0.003671768,3.122958824,1.61705458,0.000327592,0.001175285,8,0.002043581,,0,0,0,0,0,0,4,0.37207262,2.97155513,0.002224166,109.6266563,0.5
104,-1031.749104,-66.94762822,21.04868197,12,0.002633598,2.080460017,2.618370127,0.001856304,0.001627028,10,0.000827038,3,2,-0.667341238,0,0.004270089,-106.7522161,0,15,0.09522592,1.213276302,0.012133461,102.0196512,0.533333333
265,-1005.038916,-22.06097965,20.49417861,22,0.005365468,3.513643273,4.419689867,0.001000455,0.001957162,2,0.000561229,2.5,7,-0.201984135,0.184044971,0.0044951,-112.3775114,0.285714286,15,0.08494222,1.244387728,0.008878413,98.87309891,0.466666667
51,-1027.254289,-106.245707,91.23283718,29,0.004674995,2.42703179,4.671195351,0.001822084,0.000797212,5,0.000542521,2,1,-1.060755978,0,0.003402183,-85.05457892,0,2,0.600261551,3.1292628,0.001718919,91.50074023,0.5
133,-1018.169442,-39.00355709,13.0817316,25,0.006603709,3.1705942,4.679314621,0.000555949,0.000682776,10,0.000319619,3,14,-0.363920667,0.129590394,0.017036775,-391.7701746,0.214285714,24,0.053126772,1.109890938,0.007976411,84.29475269,0.416666667
143,5094.57088,10110.063,71.33269663,28,0.003703412,3.566774021,2.73625358,0.00138592,0.00084079,11,0.000184489,1.5,1,1.200630021,999,0,88.50700741,1,3,0.325401972,3.884451995,0.00104041,75.02528405,0.333333333
190,-998.8704711,-17.05924619,28.41269163,18,0.003167163,2.440527734,3.531783004,0.001026626,9.28769E-05,12,0.001697262,3,1,-0.170347542,0,0.00048984,-12.24599384,0,5,0.161938855,1.62298274,0.004029949,67.73107119,0.4
204,-987.5231351,0,31.19216227,14,0.002244276,3.484439506,4.366696968,0.001303198,0.001571765,1,0.001039072,3,0,0,0,0,0,0,5,0.169560279,1.448680705,0.005013453,56.23599311,0.6
130,-1003.29419,-15.16398354,14.51050138,16,0.004431604,3.424316988,3.360244856,0.00165356,0.001123,4,0.00035688,,12,-0.175386449,0.271517019,0.006810176,-163.9478704,0.5,20,0.044319743,1.08099307,0.014628073,55.10274326,0.4
38,-979.7632474,-9.444897356,64.75922761,21,0.0034289,3.860282148,4.0247598,0.001786286,0.001039677,12,0.001192258,3,1,-0.094304963,0,0.00028802,-7.200505724,0,2,0.28576886,3.621908663,0.000734901,48.17105042,0.5
351,-957.1568907,54.18924126,25.8239113,21,0.003593506,2.62742035,3.235856058,0.001238013,0.001496224,5,0.000722354,,2,0.057842897,4.840996292,0.000100228,9.624337033,0.5,4,0.152494241,1.47379628,0.003269513,45.22549576,0.5
450,-945.7131159,78.75368513,17.58668258,24,0.004271843,3.252609075,3.861222382,0.000712035,0.001966929,1,0.00159938,2.5,4,0.370081625,4.179322695,0.000954087,127.5934683,0.5,6,0.077963125,1.355285116,0.00252235,43.04106995,0.5
44,-1021.300272,-43.2438503,11.61509616,23,0.003595911,2.063376549,1.978517907,0.000357113,0.001386891,6,0.000570393,2,2,-0.448502334,0.176225577,0.003117453,-64.20194844,0.5,10,0.038393415,1.110515158,0.005049477,24.96439985,0.4
49,-987.0437498,9.255496181,18.50738114,21,0.004085649,1.905932004,4.263061138,0.001509399,0.001609551,4,0.000265307,1,6,-0.003851056,0.980483705,0.003284705,-2.345292234,0.5,3,0.060206648,1.25849397,0.001964467,12.6950736,0.333333333
360,-1010.653052,-25.69386916,11.90817461,30,0.004148598,3.426634488,4.05457467,0.001089511,0.001028012,5,0.001107792,,1,-0.256506595,0,0.000864193,-21.60482411,0,3,0.015436226,1.049218198,0.002552599,3.14085834,0.333333333
57,-1000,0,0,29,0.002134094,3.584748398,2.11761655,0.001071653,0.001160781,6,0.000810452,1.5,0,0,0,0,0,0,0,0,0,0,0,0
68,-1000,0,0,26,0.002977365,3.383246088,4.356301152,0.001743011,0.001102109,8,0.000586618,1.5,0,0,0,0,0,0,0,0,0,0,0,0
94,-1000,0,0,23,0.002013964,2.124554607,4.001585357,0.001839805,0.000985825,7,0.001262074,1,0,0,0,0,0,0,0,0,0,0,0,0
110,-1000,0,0,23,0.002967589,2.633195573,2.997409533,0.00180553,0.000702486,10,0.000430768,1.5,0,0,0,0,0,0,0,0,0,0,0,0
119,-1000,0,0,28,0.002306877,2.835930877,2.086299574,0.00028074,0.001284345,1,0.002151817,,0,0,0,0,0,0,0,0,0,0,0,0
137,-1000,0,0,18,0.002270811,2.794255036,3.6961867,0.000533915,0.000141234,11,0.00242445,2,0,0,0,0,0,0,0,0,0,0,0,0
139,-1000,0,0,28,0.00211914,3.768832793,2.765333712,0.000435505,0.000197438,12,0.002116407,,0,0,0,0,0,0,0,0,0,0,0,0
155,-1000,0,0,22,0.002787994,2.054401967,2.173955894,0.000499906,0.001524283,1,0.001838506,3,0,0,0,0,0,0,0,0,0,0,0,0
157,-1000,0,0,29,0.003347754,3.265372771,1.740865643,0.001547116,0.000984063,1,0.00241423,3,0,0,0,0,0,0,0,0,0,0,0,0
163,-1000,0,0,28,0.002909765,2.825823604,4.272203125,0.001760629,0.000549965,12,0.000249688,2.5,0,0,0,0,0,0,0,0,0,0,0,0
171,-1000,0,0,18,0.002324996,3.24005144,3.544788972,0.00031493,0.00177907,11,0.001247059,2,0,0,0,0,0,0,0,0,0,0,0,0
178,-1000,0,0,24,0.002687941,1.916999061,3.440705154,0.001597046,0.00090758,5,0.000475912,2.5,0,0,0,0,0,0,0,0,0,0,0,0
215,-1000,0,0,27,0.002558097,3.151663879,2.452374895,0.000213576,8.85657E-05,12,0.002452928,1.5,0,0,0,0,0,0,0,0,0,0,0,0
223,-1000,0,0,22,0.002094547,3.344968148,4.943821076,0.001829438,0.001151779,3,0.000753825,3,0,0,0,0,0,0,0,0,0,0,0,0
293,-1000,0,0,28,0.002809999,2.089090627,3.26739468,0.001128674,0.000335858,7,0.002227416,1,0,0,0,0,0,0,0,0,0,0,0,0
320,-1000,0,0,30,0.002737449,3.458897209,2.379718274,0.001222824,0.001933363,10,0.002160845,2.5,0,0,0,0,0,0,0,0,0,0,0,0
333,-1000,0,0,25,0.002050197,3.097499988,2.583796785,0.000340246,0.001894006,7,0.001854949,,0,0,0,0,0,0,0,0,0,0,0,0
336,-1000,0,0,25,0.002682394,2.641482234,3.788078643,0.000542326,0.001886917,3,0.001965013,1.5,0,0,0,0,0,0,0,0,0,0,0,0
348,-1000,0,0,22,0.002413489,3.606946828,3.537118492,0.001526711,0.001241596,10,0.000464752,,0,0,0,0,0,0,0,0,0,0,0,0
359,-1000,0,0,27,0.002835933,3.716016506,1.849698214,1.55171E-05,0.001932901,12,0.002114928,1,0,0,0,0,0,0,0,0,0,0,0,0
363,-1000,0,0,27,0.002554279,3.98729484,4.659742172,0.001751004,0.000709455,7,0.000774803,,0,0,0,0,0,0,0,0,0,0,0,0
384,-1000,0,0,20,0.002186502,3.548109057,1.572693039,0.001882914,0.001690598,6,0.001964454,2.5,0,0,0,0,0,0,0,0,0,0,0,0
