symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
DKNG,Long,289,2025-06-04T18:10:00.0000000Z,,,34.51,,34.20810,,,NoFill,0,0
DKNG,Long,275,2025-06-09T17:35:00.0000000Z,2025-06-09T17:40:00.0000000Z,2025-06-09T19:50:00.0000000Z,36.255,36.2731275,35.914525,,36.251865,EndOfDay,-5.8471875,-0.0592926708542188077327960625
DKNG,Long,251,2025-06-12T17:20:00.0000000Z,2025-06-12T17:25:00.0000000Z,2025-06-12T19:50:00.0000000Z,37.825,37.8439125,37.446825,,37.911035,EndOfDay,16.8477475,0.1690370510277961406491012686
DKNG,Long,261,2025-06-16T19:20:00.0000000Z,2025-06-16T19:25:00.0000000Z,2025-06-16T19:50:00.0000000Z,37.9,37.91895,37.536375,,37.8560625,EndOfDay,-16.4136375,-0.1643795334248186630072534797
DKNG,Long,229,2025-06-25T16:40:00.0000000Z,2025-06-25T16:45:00.0000000Z,2025-06-25T19:50:00.0000000Z,42.91,42.931455,42.49645,,42.758610,EndOfDay,-39.581505,-0.3973402604567763588924265238
DKNG,Long,211,2025-08-22T19:00:00.0000000Z,2025-08-22T19:05:00.0000000Z,2025-08-22T19:50:00.0000000Z,47.275,47.2986375,46.84460,,47.2313725,EndOfDay,-14.1929150,-0.1481485560113426754398039809
AFRM,Long,138,2025-10-20T19:45:00.0000000Z,2025-10-21T13:30:00.0000000Z,2025-10-20T19:50:00.0000000Z,72.02,72.056010,71.35145,,72.473745,EndOfDay,57.647430,0.5929019529919382309526513001
BROS,Long,174,2025-10-23T19:50:00.0000000Z,2025-10-23T19:55:00.0000000Z,2025-10-23T19:55:00.0000000Z,57.21,57.238605,56.70505,,57.111430,EndOfDay,-22.128450,-0.2383540590941889777061408852
DKNG,Long,288,2025-12-30T19:35:00.0000000Z,2025-12-30T19:45:00.0000000Z,2025-12-30T20:50:00.0000000Z,34.685,34.7023425,34.422025,,34.702640,EndOfDay,0.0856800,0.0010612965655016187002238533
DKNG,Long,274,2026-01-05T19:15:00.0000000Z,2026-01-05T19:45:00.0000000Z,2026-01-05T20:50:00.0000000Z,36.45,36.468225,36.10855,,36.411785,EndOfDay,-15.464560,-0.1569194411621602835893514979
