trial,strategy,finalScore,trainScore,testScore,lookback,maxRangePct,minBodyToMedian,minVolToAvg,breakoutBuf,stopBuf,camMinPrice,camMaxPrice,camMinGapPct,camMinDayGainPct,camMinRvol,camPullbackBars,camMaxPullbackPct,camStopCents,camRoundBreakDist,emMinPrice,emMaxPrice,emMinGapPct,emMinPremarketVol,emMinRvol,emPoleBars,emMinPolePct,emFlagBars,emMaxFlagRetrace,emEntryBufCents,emStopBufCents,fillBars,entryBuf,tpR,trainFilled,trainAvgR,trainPF,trainDDPct,trainTotalPnl,trainWinRate,testFilled,testAvgR,testPF,testDDPct,testTotalPnl,testWinRate
143,Oliver,5882.9278534737377196998185178,11471.546422456229532833030863,0.000,22,0.0034896025389850210,2.6455423804212090,1.9477167405410288,0.0006929601070903990,0.0004203948608694570,,,,,,,,,,,,,,,,,,,,,19,0.00011069338098666330,0.75,1,0.4812404355394888003326978102,999,0,28.10632115494667946666198200,1,0,0,0,0,0,0
49,Oliver,5182.5464340436876307023273640,10855.875871654513839877821732,-827.4477223725516830609141881,17,0.0040482557285801840,1.28667163983298068,2.9946704947830512,0.0007546997376506680,0.0008047755466796340,,,,,,,,,,,,,,,,,,,,,6,0.0001591840941268875,0.5,1,0.2625237480879661401054328213,999,0,16.4632058205042593307309500,1,2,-0.385000115959632346538056385,0.4739182432398429780978730408,0.00232070059009792453954960,-30.52195608382623007542730000,0.5
51,Oliver,4085.4105929285395769289494333,-303.46226301565839693937026186,13168.719876844836537731428976,23,0.004909607677212740,1.7130260103908484,3.2745339549028016,0.0009110422445978240,0.0003986062386066680,,,,,,,,,,,,,,,,,,,,,8,0.0003255126941136615,1.0,3,-0.1070558637155314911406986422,0.5969593867837585954966535615,0.001308204526414904984329932,-16.9053317142804955772292700,0.3333333333333333333333333333,1,0.7388664488346051314070617573,999,0,60.87908297963482401158280000,1
95,Oliver,2696.0046223048432729601979287,-956.0896270051134366302542268,10674.145996269778337345876162,21,0.0034433531874992680,2.2824208560783504,1.1802659977601216,0.0001637962009589170,0.0005876425828727160,,,,,,,,,,,,,,,,,,,,,12,0.0012261486925306485,,1,-0.2561642232228038300702916818,0,0.0007297542878183859877049724,-18.2438571954596496926243100,0,1,0.2225038502583326307772947591,999,0,12.97834531850872694643424875,1
114,Oliver,0.449143702492536662361386971,-36.938192257478617250576485938,56.530147642449267531768196335,10,0.0044171526019541260,2.8853743903736466,2.2425732785568440,0.00002548659966582740,0.0001350357477250680,,,,,,,,,,,,,,,,,,,,,13,0.0002173494108567705,2.0,22,-0.0528250530799240519030315479,0.9673160819930388670727131031,0.007331494761714545168095827,-12.44982497213370892338974000,0.4090909090909090909090909091,37,-0.0388198461948503481489519059,1.0241621417611515950965852795,0.0206462236998715362606037458,21.77591281706557975543592750,0.3783783783783783783783783784
176,Oliver,-256.05694493538746438679076247,-278.64490805178147839550121240,-222.17500026079644337372508758,19,0.0053713468664192440,2.548066428000138,1.4383638558622280,0.0006777726717655420,0.0006664404345985690,,,,,,,,,,,,,,,,,,,,,19,0.00014068638283791315,1.0,12,-0.0527414331773159879165372823,0.7742300200295498373480779087,0.0085496106949082999395226915,-54.326242141858057351035895875,0.4166666666666666666666666667,15,-0.065975846248084440565975772,0.8640633830984594896052106896,0.0087872372862488613741072729,-51.641235600613881033340212380,0.4666666666666666666666666667
80,Oliver,-264.00280132941788888466425741,-641.97677746684725996883830271,302.95816287672616774159681054,7,0.00267448052143421070,1.31679120423122832,2.1395515200866168,0.0005548187664499590,0.0002452754970850770,,,,,,,,,,,,,,,,,,,,,2,0.0003937318159238115,0.5,7,-0.2080951406813586081602826417,0.3604901545906151171619341555,0.0047076531891253444584611658,-76.697499578879455819483232500,0.7142857142857142857142857143,12,0.074999059604011502410835251,3.4667101727736302780076247332,0.000818639016875782711059771,50.48362976892242010115936000,0.9166666666666666666666666667
2,Oliver,-558.91087817437077960306888076,-663.70296481392989288602395347,-401.72274821503210967863627170,14,0.0053752007239382790,1.8968527978737150,1.6183534762441904,0.00002081088489890610,0.0001348336022975080,,,,,,,,,,,,,,,,,,,,,15,0.0002926366018562745,2.0,28,-0.1462698928470186132447213014,0.6277122424130550229978326227,0.0126145140616243599666525869,-234.96665175385730300622298250,0.3928571428571428571428571429,74,-0.0730046003335132915950833597,0.8657644900681098212901104046,0.0268250302007680766915014072,-239.66875479231188697191013625,0.3918918918918918918918918919
23,Oliver,-694.55821305004027460848125229,-376.75250360659396211158786249,-1171.2667772152097433538213370,9,0.0041390404459736550,1.9205906645025084,2.0649881613277784,0.0001238315716031150,0.00003123142851108290,,,,,,,,,,,,,,,,,,,,,16,0.0005435849128028310,2.0,30,-0.1430115509376019493640565185,0.7816557319627830675687493211,0.0163020357374834675322074236,-138.54480151709528417784724975,0.4333333333333333333333333333,54,-0.1752925562858557703302449703,0.6065023996571675072163684192,0.0286588946553785661225072437,-601.46113890310628179508748800,0.3888888888888888888888888889
86,Oliver,-814.5349135000921957605510649,-720.10961382241541860422209808,-956.1728630166073614950445151,9,0.0041178991376040030,2.6610177642018618,3.0734985368202896,0.00001082879677919150,0.000684071882946450,,,,,,,,,,,,,,,,,,,,,17,0.00010828796965456005,2.0,12,-0.1629412703213348530410126346,0.4261520405583955527347291298,0.0088116088273909651517109318,-136.96188904925735623933211213,0.4166666666666666666666666667,23,-0.2015401777712547509242721222,0.6168561607147827127156945771,0.0165426114842603317667974266,-296.59296375706279492675329700,0.3478260869565217391304347826
130,Oliver,-878.0418253581627953879459152,-785.78509689895861452770172283,-1016.4269180469690666783122037,12,0.0045538824738719970,2.5289866263647496,2.3755964724699008,0.0008267797645306120,0.0005614999935782980,,,,,,,,,,,,,,,,,,,,,7,0.0002141281406926590,,15,-0.1408831207889314510320025477,0.4965740401666417685869689525,0.0097003212868735768611474963,-178.98214012229320643272852000,0.4666666666666666666666666667,20,-0.1577863533267394549740497955,0.5405303630407359501461273414,0.0175592980859437686498908221,-287.12500748637430118703881750,0.3
99,Oliver,-908.3011196449711155547727432,-911.2434145899327729408817518,-903.8876772275286294756092304,14,0.0036442378110458250,2.2681447089035736,3.0560825278778024,0.0008922299188059890,0.0008935694689366820,,,,,,,,,,,,,,,,,,,,,4,0.0008060134115191245,2.0,5,-0.2426298927844422608884528761,0.3909811979249571094035612365,0.0053177898300718704773443813,-80.9658497999304113111095325,0.2,6,-0.201518772134168757795786243,0.3491967231210148251430483014,0.0058407098905582859592114504,-95.02882840187078439101791250,0.5
185,Oliver,-989.2159402646591019001712547,-986.0212915879118775039016805,-994.0079132797799384945756159,9,0.0033389118385216720,2.4631789340931816,2.2420537402583528,0.0006050816781842530,0.000006806476044844130,,,,,,,,,,,,,,,,,,,,,6,0.0008064311991010005,,12,-0.2738862315919066862195689227,0.3059941426505882701317256531,0.0098120178495673723762694317,-186.03909850891910767053843350,0.25,19,-0.1942134177680641133060789176,0.5189098256159762345863828237,0.0114750106372625688975416026,-269.56647051185700087295847785,0.3684210526315789473684210526
38,Oliver,-1000.0000,0.000,0.000,17,0.003088392369490290,2.8856853941854494,2.8312638629839136,0.0008931428975859390,0.0005198385382629180,,,,,,,,,,,,,,,,,,,,,20,0.0007153550198838840,2.0,0,0,0,0,0,0,0,0,0,0,0,0
