symbol,direction,qty,signalTimeUtc,entryTimeUtc,exitTimeUtc,entryLimit,filledEntry,stop,tp,exitPrice,outcome,pnl,r
GOOGL,Long,32,2025-08-12T13:30:00.0000000Z,2025-08-12T13:35:00.0000000Z,2025-08-12T19:50:00.0000000Z,203.33,203.431665,200.32789143356530526700,,203.468215,EndOfDay,1.169600,0.011775987912025744753949213
GOOGL,Long,43,2025-08-15T13:30:00.0000000Z,2025-08-15T13:35:00.0000000Z,2025-08-15T18:00:00.0000000Z,204.58,204.682290,202.35695849079580905750,,202.255780011550411152971250,Stop,-104.339929503332320422236250,-1.0435114214231005229021959694
HOOD,Long,65,2025-08-15T19:10:00.0000000Z,2025-08-15T19:15:00.0000000Z,2025-08-15T19:50:00.0000000Z,113.54,113.596770,112.063474444038390380250,,114.072935,EndOfDay,30.950725,0.3105500424550386776288958202
GOOGL,Short,42,2025-08-19T13:30:00.0000000Z,2025-08-19T13:35:00.0000000Z,2025-08-19T19:50:00.0000000Z,201.505,201.4042475,203.78361138557570586850,,201.480690,EndOfDay,-3.2105850,-0.0321272842978803697740172975
GOOGL,Long,37,2025-08-28T13:30:00.0000000Z,2025-08-28T13:35:00.0000000Z,2025-08-28T19:50:00.0000000Z,209.11,209.214555,206.52504205170773063700,,212.033930,EndOfDay,104.316875,1.0482845980682813683482859269
GOOGL,Long,47,2025-09-02T19:50:00.0000000Z,2025-09-02T19:55:00.0000000Z,2025-09-02T19:55:00.0000000Z,211.4,211.50570,209.38372765943149459800,,211.2493225,EndOfDay,-12.0497425,-0.1208203778619060428063002954
COIN,Long,31,2025-09-11T19:30:00.0000000Z,2025-09-11T19:35:00.0000000Z,2025-09-11T19:50:00.0000000Z,321.33,321.490665,318.99333036676994073900,,322.958440,EndOfDay,45.501025,0.5877366134555928168420846387
GOOGL,Long,40,2025-10-01T18:30:00.0000000Z,2025-10-01T18:40:00.0000000Z,2025-10-01T19:50:00.0000000Z,245.18,245.302590,243.053246783968204047750,,244.917480,EndOfDay,-15.404400,-0.1712099768746701640531541645
GOOGL,Long,40,2025-10-02T19:00:00.0000000Z,2025-10-02T19:05:00.0000000Z,2025-10-02T19:50:00.0000000Z,244.94,245.062470,242.9882766565199366850,,245.1723525,EndOfDay,4.3953000,0.0529760161199052493950583702
SOXL,Long,254,2025-10-02T19:25:00.0000000Z,2025-10-02T19:30:00.0000000Z,2025-10-02T19:50:00.0000000Z,39.295,39.3146475,38.96208566051479692300,,39.020480,EndOfDay,-74.7185450,-0.8343713557585580066857036847
GOOGL,Short,31,2025-10-08T13:30:00.0000000Z,2025-10-08T13:35:00.0000000Z,2025-10-08T19:50:00.0000000Z,244.35,244.227825,247.36363059101376246250,,244.802340,EndOfDay,-17.809965,-0.1832112939802072575094853582
GOOGL,Long,41,2025-10-13T17:55:00.0000000Z,2025-10-13T18:00:00.0000000Z,2025-10-13T19:50:00.0000000Z,243.33,243.451665,241.753844235002856792750,,244.037920,EndOfDay,24.036455,0.3452985215438724159513576532
COIN,Short,28,2025-10-15T19:50:00.0000000Z,2025-10-15T19:55:00.0000000Z,2025-10-15T19:55:00.0000000Z,335.64,335.472180,338.920688845964720892250,,336.458145,EndOfDay,-27.607020,-0.2859105323605966091461229065
